ENABLE,release_key,id,mst_attack_id,language,description,grade_description
e,202511020,chara_yuw_00301_Normal_00000_ja,chara_yuw_00301_Normal_00000,ja,表示場所なし,
e,202511020,chara_yuw_00301_Special_00001_ja,chara_yuw_00301_Special_00001,ja,"自身と同じコマと一つ後ろまでのコマにいる青属性の味方と自身の攻撃を9秒間、20%UP + 自身と同じコマと一つ後ろまでのコマにいる青属性以外の味方の攻撃を9秒間、10%UP + 自身の攻撃を9秒間、10%UP",
e,202511020,chara_yuw_00301_Special_00002_ja,chara_yuw_00301_Special_00002,ja,"自身と同じコマと一つ後ろまでのコマにいる青属性の味方と自身の攻撃を12秒間、32%UP + 自身と同じコマと一つ後ろまでのコマにいる青属性以外の味方の攻撃を12秒間、18%UP + 自身の攻撃を12秒間、14%UP","ステータスUP + 必殺ワザ性能UP"
e,202511020,chara_yuw_00301_Special_00003_ja,chara_yuw_00301_Special_00003,ja,"自身と同じコマと一つ後ろまでのコマにいる青属性の味方と自身の攻撃を14秒間、40%UP + 自身と同じコマと一つ後ろまでのコマにいる青属性以外の味方の攻撃を14秒間、24%UP + 自身の攻撃を14秒間、16%UP","ステータスUP + 必殺ワザ性能UP"
e,202511020,chara_yuw_00301_Special_00004_ja,chara_yuw_00301_Special_00004,ja,"自身と同じコマと一つ後ろまでのコマにいる青属性の味方と自身の攻撃を17.6秒間、46%UP + 自身と同じコマと一つ後ろまでのコマにいる青属性以外の味方の攻撃を17.6秒間、28%UP + 自身の攻撃を17.6秒間、18%UP","ステータスUP + 必殺ワザ性能UP"
e,202511020,chara_yuw_00301_Special_00005_ja,chara_yuw_00301_Special_00005,ja,"自身と同じコマと一つ後ろまでのコマにいる青属性の味方と自身の攻撃を20秒間、50%UP + 自身と同じコマと一つ後ろまでのコマにいる青属性以外の味方の攻撃を20秒間、30%UP + 自身の攻撃を20秒間、20%UP","ステータスUP + 必殺ワザ性能UP"
e,202511020,chara_yuw_00201_Normal_00000_ja,chara_yuw_00201_Normal_00000,ja,表示場所なし,
e,202511020,chara_yuw_00201_Special_00001_ja,chara_yuw_00201_Special_00001,ja,"敵複数体に自身の攻撃ステータスの{chara_yuw_00201_Special_00001_power_parameter}%のダメージ + 攻撃がヒットした場合、敵の攻撃を{chara_yuw_00201_Special_00001_effective_duration}秒間、{chara_yuw_00201_Special_00001_effect_parameter}%DOWN",
e,202511020,chara_yuw_00201_Special_00002_ja,chara_yuw_00201_Special_00002,ja,"敵複数体に自身の攻撃ステータスの{chara_yuw_00201_Special_00002_power_parameter}%のダメージ + 攻撃がヒットした場合、敵の攻撃を{chara_yuw_00201_Special_00002_effective_duration}秒間、{chara_yuw_00201_Special_00002_effect_parameter}%DOWN","ステータスUP + 必殺ワザ性能UP"
e,202511020,chara_yuw_00201_Special_00003_ja,chara_yuw_00201_Special_00003,ja,"敵複数体に自身の攻撃ステータスの{chara_yuw_00201_Special_00003_power_parameter}%のダメージ + 攻撃がヒットした場合、敵の攻撃を{chara_yuw_00201_Special_00003_effective_duration}秒間、{chara_yuw_00201_Special_00003_effect_parameter}%DOWN","ステータスUP + 必殺ワザ性能UP"
e,202511020,chara_yuw_00201_Special_00004_ja,chara_yuw_00201_Special_00004,ja,"敵複数体に自身の攻撃ステータスの{chara_yuw_00201_Special_00004_power_parameter}%のダメージ + 攻撃がヒットした場合、敵の攻撃を{chara_yuw_00201_Special_00004_effective_duration}秒間、{chara_yuw_00201_Special_00004_effect_parameter}%DOWN","ステータスUP + 必殺ワザ性能UP"
e,202511020,chara_yuw_00201_Special_00005_ja,chara_yuw_00201_Special_00005,ja,"敵複数体に自身の攻撃ステータスの{chara_yuw_00201_Special_00005_power_parameter}%のダメージ + 攻撃がヒットした場合、敵の攻撃を{chara_yuw_00201_Special_00005_effective_duration}秒間、{chara_yuw_00201_Special_00005_effect_parameter}%DOWN","ステータスUP + 必殺ワザ性能UP"
e,202511020,chara_yuw_00401_Normal_00000_ja,chara_yuw_00401_Normal_00000,ja,表示場所なし,
e,202511020,chara_yuw_00401_Special_00001_ja,chara_yuw_00401_Special_00001,ja,"敵単体に自身の攻撃ステータスの{chara_yuw_00401_Special_00001_power_parameter}%のダメージ + 攻撃がヒットした場合、敵を小ノックバック",
