ENABLE,id,mst_quest_id,mst_in_game_id,stage_number,recommended_level,cost_stamina,exp,coin,prev_mst_stage_id,mst_stage_tips_group_id,auto_lap_type,max_auto_lap_count,sort_order,asset_key,mst_stage_limit_status_id,release_key,mst_artwork_fragment_drop_group_id,start_at,end_at
e,normal_osh_00001,quest_main_osh_normal_17,normal_osh_00001,1,50,25,250,250,normal_glo4_00003,1,AfterClear,5,226,osh_normal_01,,202512020,osh_a_0001,"2026-01-01 00:00:00","2030-01-01 0:00:00"
e,normal_osh_00002,quest_main_osh_normal_17,normal_osh_00002,2,50,25,250,250,normal_osh_00001,1,AfterClear,5,227,osh_normal_02,,202512020,osh_a_0002,"2026-01-01 00:00:00","2030-01-01 0:00:00"
e,normal_osh_00003,quest_main_osh_normal_17,normal_osh_00003,3,50,25,250,250,normal_osh_00002,1,AfterClear,5,228,osh_normal_03,,202512020,osh_a_0003,"2026-01-01 00:00:00","2030-01-01 0:00:00"
e,hard_osh_00001,quest_main_osh_hard_17,hard_osh_00001,1,80,40,400,600,normal_osh_00003,1,AfterClear,5,229,osh_normal_01,,202512020,osh_b_0001,"2026-01-01 00:00:00","2030-01-01 0:00:00"
e,hard_osh_00002,quest_main_osh_hard_17,hard_osh_00002,2,80,40,400,600,hard_osh_00001,1,AfterClear,5,230,osh_normal_02,,202512020,osh_b_0002,"2026-01-01 00:00:00","2030-01-01 0:00:00"
e,hard_osh_00003,quest_main_osh_hard_17,hard_osh_00003,3,80,40,400,600,hard_osh_00002,1,AfterClear,5,231,osh_normal_03,,202512020,osh_b_0003,"2026-01-01 00:00:00","2030-01-01 0:00:00"
e,veryhard_osh_00001,quest_main_osh_veryhard_17,veryhard_osh_00001,1,80,50,500,1250,hard_osh_00003,1,__NULL__,1,232,osh_normal_01,,202512020,osh_c_0001,"2026-01-01 00:00:00","2030-01-01 0:00:00"
e,veryhard_osh_00002,quest_main_osh_veryhard_17,veryhard_osh_00002,2,80,50,500,1250,veryhard_osh_00001,1,__NULL__,1,233,osh_normal_02,,202512020,osh_c_0002,"2026-01-01 00:00:00","2030-01-01 0:00:00"
e,veryhard_osh_00003,quest_main_osh_veryhard_17,veryhard_osh_00003,3,80,50,500,1250,veryhard_osh_00002,1,__NULL__,1,234,osh_normal_03,,202512020,osh_c_0003,"2026-01-01 00:00:00","2030-01-01 0:00:00"
e,event_osh1_1day_00001,quest_event_osh1_1day,event_osh1_1day_00001,1,1,1,100,1000,,1,__NULL__,1,1,general_coin,,202512020,__NULL__,"2026-01-01 04:00:00","2026-01-16 03:59:59"
e,event_osh1_charaget02_00001,quest_event_osh1_charaget02,event_osh1_charaget02_00001,1,10,5,50,75,,1,AfterClear,5,1,general_fragment_00001,,202512020,event_osh_b_0001,"2026-01-05 15:00:00","2026-02-02 10:59:59"
e,event_osh1_charaget02_00002,quest_event_osh1_charaget02,event_osh1_charaget02_00002,2,20,10,100,150,event_osh1_charaget02_00001,1,AfterClear,5,2,general_fragment_00002,,202512020,event_osh_b_0002,"2026-01-05 15:00:00","2026-02-02 10:59:59"
e,event_osh1_charaget02_00003,quest_event_osh1_charaget02,event_osh1_charaget02_00003,3,35,15,150,225,event_osh1_charaget02_00002,1,AfterClear,5,3,general_fragment_00003,,202512020,event_osh_b_0003,"2026-01-05 15:00:00","2026-02-02 10:59:59"
e,event_osh1_charaget01_00001,quest_event_osh1_charaget01,event_osh1_charaget01_00001,1,10,5,50,100,,1,AfterClear,5,1,general_exchange_00001,,202512020,event_osh_a_0001,"2026-01-01 00:00:00","2026-02-02 10:59:59"
e,event_osh1_charaget01_00002,quest_event_osh1_charaget01,event_osh1_charaget01_00002,2,15,7,70,150,event_osh1_charaget01_00001,1,AfterClear,5,2,general_exchange_00001,,202512020,event_osh_a_0002,"2026-01-01 00:00:00","2026-02-02 10:59:59"
e,event_osh1_charaget01_00003,quest_event_osh1_charaget01,event_osh1_charaget01_00003,3,20,10,100,200,event_osh1_charaget01_00002,1,AfterClear,5,3,general_exchange_00001,,202512020,event_osh_a_0003,"2026-01-01 00:00:00","2026-02-02 10:59:59"
e,event_osh1_challenge01_00001,quest_event_osh1_challenge01,event_osh1_challenge01_00001,1,30,15,150,225,event_osh1_charaget01_00003,1,__NULL__,1,1,general_ticket_00002,,202512020,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59"
e,event_osh1_challenge01_00002,quest_event_osh1_challenge01,event_osh1_challenge01_00002,2,40,15,150,225,event_osh1_challenge01_00001,1,__NULL__,1,2,general_ticket_00002,,202512020,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59"
e,event_osh1_challenge01_00003,quest_event_osh1_challenge01,event_osh1_challenge01_00003,3,50,20,200,300,event_osh1_challenge01_00002,1,__NULL__,1,3,event_osh1_00007,,202512020,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59"
e,event_osh1_challenge01_00004,quest_event_osh1_challenge01,event_osh1_challenge01_00004,4,60,25,250,375,event_osh1_challenge01_00003,1,__NULL__,1,4,event_osh1_00011,,202512020,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59"
e,event_glo1_1day_00001,quest_event_glo1_1day,event_glo1_1day_00001,1,1,1,100,100,,1,__NULL__,1,1,general_diamond,,202512020,__NULL__,"2026-01-01 00:00:00","2026-01-05 14:59:59"
e,event_osh1_savage_00001,quest_event_osh1_savage,event_osh1_savage_00001,1,60,25,600,375,event_osh1_charaget01_00003,1,__NULL__,1,1,event_osh1_00009,,202512020,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59"
e,event_osh1_savage_00002,quest_event_osh1_savage,event_osh1_savage_00002,2,70,25,700,375,event_osh1_savage_00001,1,__NULL__,1,2,event_osh1_00010,,202512020,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59"
e,event_osh1_savage_00003,quest_event_osh1_savage,event_osh1_savage_00003,3,80,50,800,750,event_osh1_savage_00002,1,__NULL__,1,3,general_diamond,,202512020,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59"
