ENABLE,id,mst_unit_id,rank,require_level,amount,unit_memory_amount,sr_memory_fragment_amount,ssr_memory_fragment_amount,ur_memory_fragment_amount,release_key
e,chara_mag_00401_rank1,chara_mag_00401,1,20,0,200,0,0,0,202511010
e,chara_mag_00401_rank2,chara_mag_00401,2,30,0,250,5,0,0,202511010
e,chara_mag_00401_rank3,chara_mag_00401,3,40,0,300,10,5,0,202511010
e,chara_mag_00401_rank4,chara_mag_00401,4,50,0,350,15,10,0,202511010
e,chara_mag_00401_rank5,chara_mag_00401,5,60,0,400,20,15,3,202511010
e,chara_mag_00401_rank6,chara_mag_00401,6,70,0,450,25,20,5,202511010
e,chara_mag_00501_rank1,chara_mag_00501,1,20,0,200,0,0,0,202511010
e,chara_mag_00501_rank2,chara_mag_00501,2,30,0,250,5,0,0,202511010
e,chara_mag_00501_rank3,chara_mag_00501,3,40,0,300,10,5,0,202511010
e,chara_mag_00501_rank4,chara_mag_00501,4,50,0,350,15,10,0,202511010
e,chara_mag_00501_rank5,chara_mag_00501,5,60,0,400,20,15,3,202511010
e,chara_mag_00501_rank6,chara_mag_00501,6,70,0,450,25,20,5,202511010
