ENABLE,release_key,id,mst_enemy_character_id,character_unit_kind,role_type,color,sort_order,hp,damage_knock_back_count,move_speed,well_distance,attack_power,attack_combo_cycle,mst_unit_ability_id1,drop_battle_point,mstTransformationEnemyStageParameterId,transformationConditionType,transformationConditionValue
e,202511020,e_glo_00001_savagetank_Normal_Colorless,enemy_glo_00001,Normal,Defense,Colorless,99,100000,2,30,0.15,200,1,,30,,None,
e,202511020,e_glo_00001_savage_Normal_Green,enemy_glo_00001,Normal,Defense,Green,99,100000,2,32,0.17,200,1,,30,,None,
e,202511020,e_glo_00001_savageyuwburn_Normal_Red,enemy_glo_00001,Normal,Technical,Red,99,80000,3,35,0.2,500,1,,25,,None,
e,202511020,c_yuw_00001_1d1c_Normal_Colorless,chara_yuw_00001,Normal,Attack,Colorless,1,10000,3,30,0.24,300,4,,1000,,None,
e,202511020,c_yuw_00001_challenge_Normal_Red,chara_yuw_00001,Normal,Attack,Red,2,50000,3,34,0.24,500,5,,100,,None,
e,202511020,c_yuw_00001_okumuraget_Normal_Blue,chara_yuw_00001,Normal,Attack,Blue,3,50000,3,34,0.24,500,5,,100,,None,
e,202511020,c_yuw_00001_okumuraget_Boss_Blue,chara_yuw_00001,Boss,Attack,Blue,4,50000,3,34,0.24,500,5,,100,,None,
e,202511020,c_yuw_00001_753get_Normal_Green,chara_yuw_00001,Normal,Attack,Green,5,50000,3,34,0.24,500,5,,100,,None,
e,202511020,c_yuw_00001_753get_Boss_Green,chara_yuw_00001,Boss,Attack,Green,6,50000,3,34,0.24,500,5,,100,,None,
e,202511020,c_yuw_00001_challenge_Normal_Green,chara_yuw_00001,Normal,Attack,Green,7,50000,3,34,0.24,500,5,,100,,None,
e,202511020,c_yuw_00001_challenge_Boss_Green,chara_yuw_00001,Boss,Technical,Green,8,50000,3,34,0.24,500,3,,100,,None,
e,202511020,c_yuw_00001raid_00001_Boss_Green,chara_yuw_00001,Boss,Attack,Green,8,10000,3,34,0.24,100,5,,100,,None,
e,202511020,c_yuw_00001raid_00001_Normal_Green,chara_yuw_00001,Normal,Attack,Green,8,10000,3,34,0.24,100,5,,100,,None,
e,202511020,c_yuw_00101_challenge_Normal_Red,chara_yuw_00101,Normal,Attack,Red,9,50000,2,29,0.25,300,5,,100,,None,
e,202511020,c_yuw_00101_challengekb_Boss_Red,chara_yuw_00101,Boss,Technical,Red,10,50000,2,29,0.25,300,3,,100,,None,
e,202511020,c_yuw_00101_okumuraget_Boss_Blue,chara_yuw_00101,Boss,Technical,Blue,11,50000,2,29,0.25,300,5,,100,,None,
e,202511020,c_yuw_00101_challenge_Normal_Green,chara_yuw_00101,Normal,Attack,Green,12,50000,2,29,0.25,300,5,,100,,None,
e,202511020,c_yuw_00101_753get_Normal_Green,chara_yuw_00101,Normal,Technical,Green,13,50000,2,29,0.25,300,5,,100,,None,
e,202511020,c_yuw_00101raid_00001_Boss_Green,chara_yuw_00101,Boss,Technical,Green,13,10000,2,29,0.25,100,3,,100,,None,
e,202511020,c_yuw_00101raid_00001_Normal_Green,chara_yuw_00101,Normal,Technical,Green,13,10000,2,29,0.25,100,3,,100,,None,
e,202511020,c_yuw_00201_753get_Normal_Green,chara_yuw_00201,Normal,Technical,Green,14,50000,3,27,0.26,300,3,,100,,None,
e,202511020,c_yuw_00201_savage_Boss_Green,chara_yuw_00201,Boss,Technical,Green,15,100000,3,27,0.26,300,4,,100,,None,
e,202511020,c_yuw_00201raid_00001_Normal_Green,chara_yuw_00201,Normal,Technical,Green,15,1000,3,27,0.26,100,3,,100,,None,
e,202511020,c_yuw_00301_okumuraget_Normal_Colorless,chara_yuw_00301,Normal,Technical,Colorless,16,50000,3,29,0.23,300,4,,500,,None,
e,202511020,c_yuw_00301_challengeburn_Boss_Red,chara_yuw_00301,Boss,Technical,Red,17,50000,3,29,0.26,300,4,,500,,None,
