ENABLE,id,sequence_set_id,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,last_boss_trigger,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value,release_key
e,event_sur1_1day_00001_1,event_sur1_1day_00001,,1,,InitialSummon,0,SummonEnemy,e_sur_00101_1d1c_Normal_Colorless,,1,0,None,1.2,Damage,1,None,,None,,,,,Default,Normal,1.2,0.3,1,,0,,None,,202512010
e,event_sur1_1day_00001_2,event_sur1_1day_00001,,2,,InitialSummon,0,SummonEnemy,e_sur_00101_1d1c_Normal_Colorless,,1,0,None,1.5,Damage,1,None,,None,,,,,Default,Normal,1.2,0.3,1,,0,,None,,202512010
e,event_sur1_1day_00001_3,event_sur1_1day_00001,,3,,ElapsedTime,400,SummonEnemy,e_sur_00101_1d1c_Normal_Colorless,,3,500,None,,None,,None,,None,,,,,Default,Normal,1,0.2,1,,0,,None,,202512010
e,event_sur1_charaget01_00001_1,event_sur1_charaget01_00001,,1,,InitialSummon,0,SummonEnemy,c_sur_00001_surget_Normal_Blue,,1,0,None,1.5,Damage,1,None,,None,,,,,Default,Normal,1.1,0.6,1,,0,,None,,202512010
e,event_sur1_charaget01_00001_2,event_sur1_charaget01_00001,,2,,ElapsedTime,500,SummonEnemy,e_sur_00101_surget_Normal_Blue,,5,900,None,,None,,None,,None,,,,,Default,Normal,0.2,0.6,1,,0,,None,,202512010
e,event_sur1_charaget01_00001_3,event_sur1_charaget01_00001,,3,,ElapsedTime,4000,SummonEnemy,e_sur_00101_surget_Normal_Blue,,8,1100,None,,None,,None,,None,,,,,Default,Normal,0.4,0.7,1,100,0,,None,,202512010
e,event_sur1_charaget01_00001_4,event_sur1_charaget01_00001,,4,,OutpostHpPercentage,99,SummonEnemy,c_sur_00101_surget_Boss_Blue,,1,0,None,,None,,None,,None,,,,,Boss,Normal,1.3,1.3,1,,0,,None,,202512010
e,event_sur1_charaget01_00002_1,event_sur1_charaget01_00002,,1,,ElapsedTime,200,SummonEnemy,e_sur_00101_surget_Normal_Blue,,2,300,None,,None,,None,,None,,,,,Default,Normal,1,0.6,1,100,0,,None,,202512010
e,event_sur1_charaget01_00002_2,event_sur1_charaget01_00002,,2,,OutpostHpPercentage,99,SummonEnemy,c_sur_00101_surget_Normal_Blue,,1,,None,,None,,None,,None,,,,,Default,Normal,1.7,1.3,1,,0,,None,,202512010
e,event_sur1_charaget01_00002_3,event_sur1_charaget01_00002,,3,,OutpostHpPercentage,99,SummonEnemy,c_sur_00801_surget_Boss_Blue,,1,200,None,,None,,None,,None,,,,,Boss,Normal,1.8,0.7,1,,0,,None,,202512010
e,event_sur1_charaget01_00002_4,event_sur1_charaget01_00002,,4,,ElapsedTime,1200,SummonEnemy,e_sur_00101_surget_Normal_Blue,,9,700,None,,None,,None,,None,,,,,Default,Normal,0.6,0.6,1,100,0,,None,,202512010
e,event_sur1_charaget01_00003_1,event_sur1_charaget01_00003,,1,,ElapsedTime,100,SummonEnemy,e_sur_00101_surget_Normal_Blue,,1,0,None,,None,,None,,None,,,,,Default,Normal,1,1.8,1.1,500,0,,None,,202512010
e,event_sur1_charaget01_00003_2,event_sur1_charaget01_00003,,2,,ElapsedTime,1300,SummonEnemy,c_sur_00001_surget_Normal_Blue,,1,0,None,,None,,None,,None,,,,,Default,Normal,1.2,0.8,1,,0,,None,,202512010
e,event_sur1_charaget01_00003_3,event_sur1_charaget01_00003,,3,,InitialSummon,0,SummonEnemy,c_sur_00301_surget_Boss_Blue,,1,0,None,1.65,Damage,1,None,,None,,,,,Boss,Normal,3,0.8,1,,0,,None,,202512010
e,event_sur1_charaget01_00003_4,event_sur1_charaget01_00003,,4,,ElapsedTime,1600,SummonEnemy,e_sur_00101_surget_Normal_Blue,,4,800,None,,None,,None,,None,,,,,Default,Normal,0.7,0.9,1,100,0,,None,,202512010
e,event_sur1_charaget01_00004_1,event_sur1_charaget01_00004,,1,,InitialSummon,0,SummonEnemy,c_sur_00301_surget_Normal_Blue,,1,0,None,1.2,ElapsedTime,900,None,,None,,,,,Default,Normal,3,0.8,1,,0,,None,,202512010
e,event_sur1_charaget01_00004_2,event_sur1_charaget01_00004,,2,,InitialSummon,0,SummonEnemy,e_sur_00101_surget_Normal_Blue,,1,0,None,0.85,Damage,1,None,,None,,,,,Default,Normal,0.8,0.8,1,100,0,,None,,202512010
