ENABLE,id,mst_stage_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order,release_key
e,393,event_sur1_1day_00001,FirstClear,FreeDiamond,prism_glo_00001,20,100,1,202512010
e,394,event_sur1_charaget01_00001,FirstClear,Unit,chara_sur_00801,1,100,1,202512010
e,395,event_sur1_charaget01_00001,FirstClear,FreeDiamond,prism_glo_00001,30,100,2,202512010
e,396,event_sur1_charaget01_00001,FirstClear,Coin,,250,100,3,202512010
e,397,event_sur1_charaget01_00001,Random,Item,piece_sur_00801,1,10,4,202512010
e,398,event_sur1_charaget01_00002,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202512010
e,399,event_sur1_charaget01_00002,FirstClear,Coin,,250,100,2,202512010
e,400,event_sur1_charaget01_00002,Random,Item,piece_sur_00801,1,15,3,202512010
e,401,event_sur1_charaget01_00003,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202512010
e,402,event_sur1_charaget01_00003,FirstClear,Coin,,250,100,2,202512010
e,403,event_sur1_charaget01_00003,Random,Item,piece_sur_00801,1,20,3,202512010
e,404,event_sur1_charaget01_00004,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202512010
e,405,event_sur1_charaget01_00004,FirstClear,Coin,,350,100,2,202512010
e,406,event_sur1_charaget01_00004,Random,Item,piece_sur_00801,3,25,3,202512010
e,407,event_sur1_charaget01_00005,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202512010
e,408,event_sur1_charaget01_00005,FirstClear,Coin,,350,100,2,202512010
e,409,event_sur1_charaget01_00005,FirstClear,Item,memory_chara_sur_00801,200,100,3,202512010
e,410,event_sur1_charaget01_00005,Random,Item,piece_sur_00801,3,30,4,202512010
e,411,event_sur1_charaget01_00006,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202512010
e,412,event_sur1_charaget01_00006,FirstClear,Coin,,350,100,2,202512010
e,413,event_sur1_charaget01_00006,FirstClear,Item,memory_chara_sur_00801,250,100,3,202512010
e,414,event_sur1_charaget01_00006,FirstClear,Item,memoryfragment_glo_00001,15,100,4,202512010
e,415,event_sur1_charaget01_00006,Random,Item,piece_sur_00801,3,40,5,202512010
e,416,event_sur1_charaget01_00007,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202512010
e,417,event_sur1_charaget01_00007,FirstClear,Coin,,500,100,2,202512010
e,418,event_sur1_charaget01_00007,FirstClear,Item,memory_chara_sur_00801,300,100,3,202512010
e,419,event_sur1_charaget01_00007,FirstClear,Item,memoryfragment_glo_00002,10,100,4,202512010
e,420,event_sur1_charaget01_00007,Random,Item,piece_sur_00801,3,45,5,202512010
e,421,event_sur1_charaget01_00008,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202512010
e,422,event_sur1_charaget01_00008,FirstClear,Coin,,500,100,2,202512010
e,423,event_sur1_charaget01_00008,FirstClear,Item,memory_chara_sur_00801,350,100,3,202512010
e,424,event_sur1_charaget01_00008,FirstClear,Item,memoryfragment_glo_00003,1,100,4,202512010
e,425,event_sur1_charaget01_00008,Random,Item,piece_sur_00801,5,60,5,202512010
e,426,event_sur1_savage_00001,FirstClear,Emblem,emblem_event_sur_00002,1,100,1,202512010
e,427,event_sur1_savage_00001,FirstClear,FreeDiamond,prism_glo_00001,100,100,2,202512010
e,428,event_sur1_savage_00002,FirstClear,Emblem,emblem_event_sur_00003,1,100,1,202512010
e,429,event_sur1_savage_00002,FirstClear,FreeDiamond,prism_glo_00001,100,100,2,202512010
e,430,event_sur1_savage_00003,FirstClear,FreeDiamond,prism_glo_00001,100,100,1,202512010
e,431,event_sur1_savage_00003,FirstClear,Coin,,5000,100,2,202512010
e,432,event_sur1_charaget02_00001,FirstClear,Unit,chara_sur_00701,1,100,1,202512010
e,433,event_sur1_charaget02_00001,FirstClear,FreeDiamond,prism_glo_00001,30,100,2,202512010
e,434,event_sur1_charaget02_00001,FirstClear,Coin,,250,100,3,202512010
e,435,event_sur1_charaget02_00001,Random,Item,piece_sur_00701,1,10,4,202512010
e,436,event_sur1_charaget02_00002,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202512010
