ENABLE,id,opr_gacha_id,mst_unit_id,language,sort_order,description,release_key
e,47,Fest_osh_001,chara_osh_00001,ja,1,"味方の必殺ワザ発動の\n時間を短縮できるぞ!\nさらに、必殺ワザで\n複数の攻撃をDOWN",202512020
e,48,Pickup_osh_001,chara_osh_00101,ja,1,"選択したコマと\n一つ先までのコマに\nいる敵にダメージ!\n味方の再召喚時間短縮",202512020
e,49,Pickup_osh_001,chara_osh_00201,ja,2,"必殺ワザで\n自身の攻撃をUPする\nアタックキャラ! ",202512020
e,50,Pickup_osh_001,chara_osh_00301,ja,3,"必殺ワザで\n自身と黄属性の味方の\nダメージをカット!",202512020
e,51,Pickup_osh_001,chara_osh_00401,ja,4,"必殺ワザで\n複数の相手を\nスタン状態にする!	",202512020
e,52,Pickup_osh_001,chara_osh_00501,ja,5,"必殺ワザで\n複数の相手の攻撃を\nDOWNする\nテクニカルキャラ!",202512020
e,53,SSRticket_osh_001,chara_osh_00201,ja,1,"必殺ワザで\n自身の攻撃をUPする\nアタックキャラ! ",202512020
e,54,SSRticket_osh_001,chara_osh_00301,ja,2,"必殺ワザで\n自身と黄属性の味方の\nダメージをカット!",202512020
e,55,SSRticket_osh_001,chara_osh_00401,ja,3,"必殺ワザで\n複数の相手を\nスタン状態にする!	",202512020
e,56,SSRticket_osh_001,chara_osh_00501,ja,4,"必殺ワザで\n複数の相手の攻撃を\nDOWNする\nテクニカルキャラ!",202512020
e,66,UR_newyear_001,chara_spy_00201,ja,1,"高い攻撃性能を誇り\n必殺ワザで大ダメージ\nを与えつつ\n自身の攻撃もUP!",202512020
e,67,UR_newyear_001,chara_yuw_00001,ja,2,"必殺ワザで複数の相手にダメージを与える!\nさらに、必殺ワザで\n青属性の相手には大ダメージ!",202512020
e,68,UR_newyear_001,chara_mag_00001,ja,3,"遠距離からの\n通常攻撃が強力!\n必殺ワザで複数の相手\nに攻撃可能!",202512020
e,69,UR_newyear_001,chara_kai_00002,ja,4,"必殺ワザの\n連続範囲攻撃で\n圧倒的ダメージを誇る\nアタッカー!",202512020
e,74,UR_newyear_Ticket_001,chara_spy_00201,ja,1,"高い攻撃性能を誇り\n必殺ワザで大ダメージ\nを与えつつ\n自身の攻撃もUP!",202512020
e,75,UR_newyear_Ticket_001,chara_yuw_00001,ja,2,"必殺ワザで複数の相手にダメージを与える!\nさらに、必殺ワザで\n青属性の相手には大ダメージ!",202512020
e,76,UR_newyear_Ticket_001,chara_mag_00001,ja,3,"遠距離からの\n通常攻撃が強力!\n必殺ワザで複数の相手\nに攻撃可能!",202512020
e,77,UR_newyear_Ticket_001,chara_kai_00002,ja,4,"必殺ワザの\n連続範囲攻撃で\n圧倒的ダメージを誇る\nアタッカー!",202512020
