ENABLE,id,opr_gacha_id,cost_type,cost_id,cost_num,draw_count,cost_priority,release_key
e,52,Fest_osh_001,Item,ticket_glo_00004,1,1,2,202512020
e,53,Fest_osh_001,Diamond,,150,1,3,202512020
e,54,Fest_osh_001,Diamond,,1500,10,3,202512020
e,55,Pickup_osh_001,Item,ticket_glo_00003,1,1,2,202512020
e,56,Pickup_osh_001,Diamond,,150,1,3,202512020
e,57,Pickup_osh_001,Diamond,,1500,10,3,202512020
e,58,UR_newyear_001,PaidDiamond,,1500,10,1,202512020
e,60,gasho_001,Item,ticket_glo_10001,1,1,1,202512020
e,61,SSRticket_osh_001,Item,ticket_osh_10000,1,1,1,202512020
e,68,UR_newyear_Ticket_001,Item,ticket_glo_00207,1,10,1,202512020
