memo
TABLE,MstEventBonusUnit,MstEventBonusUnit,MstEventBonusUnit,MstEventBonusUnit,MstEventBonusUnit,MstEventBonusUnit
ENABLE,id,mst_unit_id,bonus_percentage,event_bonus_group_id,is_pick_up,release_key
e,advent_battle_christmas_20251222_bonus_01,chara_sur_00001,30,christmas_20251222,,1
e,advent_battle_christmas_20251222_bonus_02,chara_sur_00101,30,christmas_20251222,,1
e,advent_battle_christmas_20251222_bonus_03,chara_sur_00201,30,christmas_20251222,,1
e,advent_battle_christmas_20251222_bonus_04,chara_sur_00301,30,christmas_20251222,,1
e,advent_battle_christmas_20251222_bonus_05,chara_sur_00401,30,christmas_20251222,,1
e,advent_battle_christmas_20251222_bonus_06,chara_sur_00501,30,christmas_20251222,,1
e,advent_battle_christmas_20251222_bonus_07,chara_sur_00601,30,christmas_20251222,,1
e,advent_battle_christmas_20251222_bonus_08,chara_sur_00701,30,christmas_20251222,,1
e,advent_battle_christmas_20251222_bonus_09,chara_sur_00801,30,christmas_20251222,,1
