ENABLE,release_key,id,mst_mission_event_id,language,description
e,1,mission_event_christmas_2025_12_01_ja,mission_event_christmas_2025_12_01,ja,無窮の鎖 和倉 優希 をグレード2まで強化しよう
e,1,mission_event_christmas_2025_12_02_ja,mission_event_christmas_2025_12_02,ja,無窮の鎖 和倉 優希 をグレード3まで強化しよう
e,1,mission_event_christmas_2025_12_03_ja,mission_event_christmas_2025_12_03,ja,無窮の鎖 和倉 優希 をグレード4まで強化しよう
e,1,mission_event_christmas_2025_12_04_ja,mission_event_christmas_2025_12_04,ja,無窮の鎖 和倉 優希 をグレード5まで強化しよう
e,1,mission_event_christmas_2025_12_05_ja,mission_event_christmas_2025_12_05,ja,無窮の鎖 和倉 優希 をLv.20まで強化しよう
e,1,mission_event_christmas_2025_12_06_ja,mission_event_christmas_2025_12_06,ja,無窮の鎖 和倉 優希 をLv.30まで強化しよう
e,1,mission_event_christmas_2025_12_07_ja,mission_event_christmas_2025_12_07,ja,無窮の鎖 和倉 優希 をLv.40まで強化しよう
e,1,mission_event_christmas_2025_12_08_ja,mission_event_christmas_2025_12_08,ja,和倉 青羽 をグレード2まで強化しよう
e,1,mission_event_christmas_2025_12_09_ja,mission_event_christmas_2025_12_09,ja,和倉 青羽 をグレード3まで強化しよう
e,1,mission_event_christmas_2025_12_10_ja,mission_event_christmas_2025_12_10,ja,和倉 青羽 をグレード4まで強化しよう
e,1,mission_event_christmas_2025_12_11_ja,mission_event_christmas_2025_12_11,ja,和倉 青羽 をグレード5まで強化しよう
e,1,mission_event_christmas_2025_12_12_ja,mission_event_christmas_2025_12_12,ja,和倉 青羽 をLv.20まで強化しよう
e,1,mission_event_christmas_2025_12_13_ja,mission_event_christmas_2025_12_13,ja,和倉 青羽 をLv.30まで強化しよう
e,1,mission_event_christmas_2025_12_14_ja,mission_event_christmas_2025_12_14,ja,和倉 青羽 をLv.40まで強化しよう
e,1,mission_event_christmas_2025_12_15_ja,mission_event_christmas_2025_12_15,ja,ストーリークエスト「スレイブの誕生」をクリアしよう
e,1,mission_event_christmas_2025_12_16_ja,mission_event_christmas_2025_12_16,ja,ストーリークエスト「隠れ里の戦い」をクリアしよう
e,1,mission_event_christmas_2025_12_17_ja,mission_event_christmas_2025_12_17,ja,チャレンジクエスト「魔都防衛隊」をクリアしよう
e,1,mission_event_christmas_2025_12_18_ja,mission_event_christmas_2025_12_18,ja,高難易度「スレイブと組長」をクリアしよう
e,1,mission_event_christmas_2025_12_19_ja,mission_event_christmas_2025_12_19,ja,ファントムを10体撃破しよう
e,1,mission_event_christmas_2025_12_20_ja,mission_event_christmas_2025_12_20,ja,ファントムを20体撃破しよう
e,1,mission_event_christmas_2025_12_21_ja,mission_event_christmas_2025_12_21,ja,ファントムを30体撃破しよう
e,1,mission_event_christmas_2025_12_22_ja,mission_event_christmas_2025_12_22,ja,ファントムを40体撃破しよう
e,1,mission_event_christmas_2025_12_23_ja,mission_event_christmas_2025_12_23,ja,ファントムを50体撃破しよう
e,1,mission_event_christmas_2025_12_24_ja,mission_event_christmas_2025_12_24,ja,ファントムを100体撃破しよう
e,1,mission_event_christmas_2025_12_25_ja,mission_event_christmas_2025_12_25,ja,降臨バトル「魔防隊と戦う者」に5回挑戦しよう！
e,1,mission_event_christmas_2025_12_26_ja,mission_event_christmas_2025_12_26,ja,降臨バトル「魔防隊と戦う者」に10回挑戦しよう！
e,1,mission_event_christmas_2025_12_27_ja,mission_event_christmas_2025_12_27,ja,降臨バトル「魔防隊と戦う者」に20回挑戦しよう！
e,1,mission_event_christmas_2025_12_28_ja,mission_event_christmas_2025_12_28,ja,降臨バトル「魔防隊と戦う者」に30回挑戦しよう！
