ENABLE,id,mst_pack_id,resource_type,resource_id,resource_amount,is_bonus,display_order,release_key
e,xmas_pack_a_1,xmas_pack_a_2025,Item,memory_glo_00001,500,0,1,1
e,xmas_pack_a_2,xmas_pack_a_2025,Item,memory_glo_00002,500,0,2,1
e,xmas_pack_a_3,xmas_pack_a_2025,Item,memory_glo_00005,500,0,3,1
e,xmas_pack_a_4,xmas_pack_a_2025,Item,memory_glo_00003,500,0,4,1
e,xmas_pack_a_5,xmas_pack_a_2025,Item,memory_glo_00004,500,0,5,1
e,xmas_pack_a_6,xmas_pack_a_2025,Item,ticket_glo_00002,10,0,6,1
e,xmas_pack_b_1,xmas_pack_b_2025,Item,memoryfragment_glo_00001,50,0,1,1
e,xmas_pack_b_2,xmas_pack_b_2025,Item,memoryfragment_glo_00002,30,0,2,1
e,xmas_pack_b_3,xmas_pack_b_2025,Item,memoryfragment_glo_00003,5,0,3,1
e,xmas_pack_b_4,xmas_pack_b_2025,Item,ticket_glo_00004,5,0,4,1
e,xmas_pack_b_5,xmas_pack_b_2025,Item,ticket_glo_00003,5,0,5,1
e,xmas_pack_c_1,xmas_pack_c_2025,Item,ticket_glo_00203,1,0,1,1
e,xmas_pack_c_2,xmas_pack_c_2025,Item,box_glo_00008,10,1,2,1
e,xmas_pack_c_3,xmas_pack_c_2025,Item,ticket_glo_00004,5,0,3,1
e,xmas_pack_c_4,xmas_pack_c_2025,Item,ticket_glo_00003,5,0,4,1
