memo
TABLE,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward
ENABLE,id,mst_advent_battle_reward_group_id,resource_type,resource_id,resource_amount,release_key
e,advent_you_002_reward_0001,advent_you_002_reward_group_rank_001,FreeDiamond,__NULL__,10,202602010
e,advent_you_002_reward_0002,advent_you_002_reward_group_rank_001,Coin,__NULL__,1000,202602010
e,advent_you_002_reward_0003,advent_you_002_reward_group_rank_001,Item,memoryfragment_glo_00001,1,202602010
e,advent_you_002_reward_0004,advent_you_002_reward_group_rank_002,FreeDiamond,__NULL__,10,202602010
e,advent_you_002_reward_0005,advent_you_002_reward_group_rank_002,Coin,__NULL__,1000,202602010
e,advent_you_002_reward_0006,advent_you_002_reward_group_rank_002,Item,memoryfragment_glo_00001,1,202602010
e,advent_you_002_reward_0007,advent_you_002_reward_group_rank_003,FreeDiamond,__NULL__,10,202602010
e,advent_you_002_reward_0008,advent_you_002_reward_group_rank_003,Coin,__NULL__,1000,202602010
e,advent_you_002_reward_0009,advent_you_002_reward_group_rank_003,Item,memoryfragment_glo_00001,1,202602010
e,advent_you_002_reward_0010,advent_you_002_reward_group_rank_004,FreeDiamond,__NULL__,10,202602010
e,advent_you_002_reward_0011,advent_you_002_reward_group_rank_004,Coin,__NULL__,1000,202602010
e,advent_you_002_reward_0012,advent_you_002_reward_group_rank_004,Item,memoryfragment_glo_00001,1,202602010
e,advent_you_002_reward_0013,advent_you_002_reward_group_rank_005,FreeDiamond,__NULL__,20,202602010
e,advent_you_002_reward_0014,advent_you_002_reward_group_rank_005,Coin,__NULL__,2000,202602010
e,advent_you_002_reward_0015,advent_you_002_reward_group_rank_005,Item,memoryfragment_glo_00001,1,202602010
e,advent_you_002_reward_0016,advent_you_002_reward_group_rank_006,FreeDiamond,__NULL__,20,202602010
e,advent_you_002_reward_0017,advent_you_002_reward_group_rank_006,Coin,__NULL__,2000,202602010
e,advent_you_002_reward_0018,advent_you_002_reward_group_rank_006,Item,memoryfragment_glo_00001,1,202602010
e,advent_you_002_reward_0019,advent_you_002_reward_group_rank_007,FreeDiamond,__NULL__,20,202602010
e,advent_you_002_reward_0020,advent_you_002_reward_group_rank_007,Coin,__NULL__,2000,202602010
e,advent_you_002_reward_0021,advent_you_002_reward_group_rank_007,Item,memoryfragment_glo_00001,2,202602010
e,advent_you_002_reward_0022,advent_you_002_reward_group_rank_008,FreeDiamond,__NULL__,20,202602010
e,advent_you_002_reward_0023,advent_you_002_reward_group_rank_008,Coin,__NULL__,2000,202602010
e,advent_you_002_reward_0024,advent_you_002_reward_group_rank_008,Item,memoryfragment_glo_00001,2,202602010
e,advent_you_002_reward_0025,advent_you_002_reward_group_rank_009,FreeDiamond,__NULL__,30,202602010
e,advent_you_002_reward_0026,advent_you_002_reward_group_rank_009,Coin,__NULL__,3000,202602010
e,advent_you_002_reward_0027,advent_you_002_reward_group_rank_009,Item,memoryfragment_glo_00001,2,202602010
e,advent_you_002_reward_0028,advent_you_002_reward_group_rank_009,Item,memoryfragment_glo_00002,1,202602010
e,advent_you_002_reward_0029,advent_you_002_reward_group_rank_010,FreeDiamond,__NULL__,30,202602010
e,advent_you_002_reward_0030,advent_you_002_reward_group_rank_010,Coin,__NULL__,3000,202602010
e,advent_you_002_reward_0031,advent_you_002_reward_group_rank_010,Item,memoryfragment_glo_00001,2,202602010
e,advent_you_002_reward_0032,advent_you_002_reward_group_rank_010,Item,memoryfragment_glo_00002,2,202602010
e,advent_you_002_reward_0033,advent_you_002_reward_group_rank_011,FreeDiamond,__NULL__,30,202602010
e,advent_you_002_reward_0034,advent_you_002_reward_group_rank_011,Coin,__NULL__,3000,202602010
e,advent_you_002_reward_0035,advent_you_002_reward_group_rank_011,Item,memoryfragment_glo_00001,2,202602010
e,advent_you_002_reward_0036,advent_you_002_reward_group_rank_011,Item,memoryfragment_glo_00002,2,202602010
e,advent_you_002_reward_0037,advent_you_002_reward_group_rank_012,FreeDiamond,__NULL__,30,202602010
e,advent_you_002_reward_0038,advent_you_002_reward_group_rank_012,Coin,__NULL__,3000,202602010
e,advent_you_002_reward_0039,advent_you_002_reward_group_rank_012,Item,memoryfragment_glo_00001,2,202602010
e,advent_you_002_reward_0040,advent_you_002_reward_group_rank_012,Item,memoryfragment_glo_00002,2,202602010
e,advent_you_002_reward_0041,advent_you_002_reward_group_rank_013,FreeDiamond,__NULL__,40,202602010
e,advent_you_002_reward_0042,advent_you_002_reward_group_rank_013,Coin,__NULL__,4000,202602010
e,advent_you_002_reward_0043,advent_you_002_reward_group_rank_013,Item,memoryfragment_glo_00001,3,202602010
e,advent_you_002_reward_0044,advent_you_002_reward_group_rank_013,Item,memoryfragment_glo_00002,2,202602010
e,advent_you_002_reward_0045,advent_you_002_reward_group_rank_014,FreeDiamond,__NULL__,40,202602010
e,advent_you_002_reward_0046,advent_you_002_reward_group_rank_014,Coin,__NULL__,4000,202602010
e,advent_you_002_reward_0047,advent_you_002_reward_group_rank_014,Item,memoryfragment_glo_00001,3,202602010
