memo,幼稚園WARSいいジャン祭のミッション報酬（サンプル - ミッション仕様書の内容に基づく）
TABLE,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward
ENABLE,id,release_key,group_id,resource_type,resource_id,resource_amount,sort_order
e,mission_reward_you_00001_001_1,202602010,mission_reward_group_you_00001_001,Item,unit_memory_you_00201,200,1
e,mission_reward_you_00001_002_1,202602010,mission_reward_group_you_00001_002,Item,unit_memory_you_00201,300,1
e,mission_reward_you_00001_003_1,202602010,mission_reward_group_you_00001_003,Item,unit_memory_you_00201,350,1
e,mission_reward_you_00001_004_1,202602010,mission_reward_group_you_00001_004,Item,ticket_you_00001,1,1
e,mission_reward_you_00001_005_1,202602010,mission_reward_group_you_00001_005,Item,piece_you_00201,10,1
e,mission_reward_you_00001_006_1,202602010,mission_reward_group_you_00001_006,FreeDiamond,,50,1
e,mission_reward_you_00001_007_1,202602010,mission_reward_group_you_00001_007,Item,unit_memory_you_00301,200,1
e,mission_reward_you_00001_008_1,202602010,mission_reward_group_you_00001_008,Coin,,12500,1
e,mission_reward_you_00001_009_1,202602010,mission_reward_group_you_00001_009,Coin,,12500,1
e,mission_reward_you_00001_010_1,202602010,mission_reward_group_you_00001_010,Item,ticket_you_00002,3,1
e,mission_reward_you_00001_011_1,202602010,mission_reward_group_you_00001_011,Item,ticket_you_00001,1,1
e,mission_reward_you_00001_012_1,202602010,mission_reward_group_you_00001_012,Item,memoryfragment_glo_00001,5,1
e,mission_reward_you_00001_013_1,202602010,mission_reward_group_you_00001_013,Item,memoryfragment_glo_00001,10,1
e,mission_reward_you_00001_014_1,202602010,mission_reward_group_you_00001_014,Item,ticket_you_00001,1,1
e,mission_reward_you_00001_015_1,202602010,mission_reward_group_you_00001_015,Item,ticket_you_00001,1,1
e,mission_reward_you_00001_016_1,202602010,mission_reward_group_you_00001_016,Item,piece_you_00301,10,1
e,mission_reward_you_00001_017_1,202602010,mission_reward_group_you_00001_017,FreeDiamond,,50,1
e,mission_reward_you_00001_018_1,202602010,mission_reward_group_you_00001_018,Item,unit_memory_you_00301,200,1
e,mission_reward_you_00001_019_1,202602010,mission_reward_group_you_00001_019,Coin,,12500,1
e,mission_reward_you_00001_020_1,202602010,mission_reward_group_you_00001_020,Coin,,12500,1
e,mission_reward_you_00001_021_1,202602010,mission_reward_group_you_00001_021,Item,ticket_you_00002,3,1
e,mission_reward_you_00001_022_1,202602010,mission_reward_group_you_00001_022,Item,ticket_you_00001,1,1
e,mission_reward_you_00001_023_1,202602010,mission_reward_group_you_00001_023,FreeDiamond,,50,1
e,mission_reward_you_00001_024_1,202602010,mission_reward_group_you_00001_024,FreeDiamond,,50,1
e,mission_reward_you_00001_025_1,202602010,mission_reward_group_you_00001_025,FreeDiamond,,100,1
e,mission_reward_you_00001_026_1,202602010,mission_reward_group_you_00001_026,Item,emblem_event_you_00001,1,1
e,mission_reward_you_00001_026_2,202602010,mission_reward_group_you_00001_026,Item,emblem_event_you_00002,1,2
e,mission_reward_you_00001_027_1,202602010,mission_reward_group_you_00001_027,Coin,,1000,1
e,mission_reward_you_00001_028_1,202602010,mission_reward_group_you_00001_028,Coin,,1000,1
e,mission_reward_you_00001_029_1,202602010,mission_reward_group_you_00001_029,Coin,,1500,1
e,mission_reward_you_00001_030_1,202602010,mission_reward_group_you_00001_030,Coin,,1500,1
e,mission_reward_you_00001_031_1,202602010,mission_reward_group_you_00001_031,FreeDiamond,,20,1
e,mission_reward_you_00001_032_1,202602010,mission_reward_group_you_00001_032,FreeDiamond,,20,1
e,mission_reward_you_00001_033_1,202602010,mission_reward_group_you_00001_033,FreeDiamond,,30,1
e,mission_reward_you_00001_034_1,202602010,mission_reward_group_you_00001_034,FreeDiamond,,30,1
e,mission_reward_you_00001_035_1,202602010,mission_reward_group_you_00001_035,Item,piece_you_00201,10,1
e,mission_reward_you_00001_036_1,202602010,mission_reward_group_you_00001_036,Item,piece_you_00301,10,1
e,mission_reward_you_00001_037_1,202602010,mission_reward_group_you_00001_037,Item,memoryfragment_glo_00001,5,1
e,mission_reward_you_00001_038_1,202602010,mission_reward_group_you_00001_038,Item,memoryfragment_glo_00002,2,1
e,mission_reward_you_00001_039_1,202602010,mission_reward_group_you_00001_039,Item,ticket_you_00001,1,1
