memo
TABLE,MstShopItem,MstShopItem,MstShopItem,MstShopItem,MstShopItem,MstShopItem,MstShopItem,MstShopItem,MstShopItem,MstShopItem,MstShopItem,MstShopItem
ENABLE,id,shop_type,cost_type,cost_amount,is_first_time_free,tradable_count,resource_type,resource_id,resource_amount,start_date,end_date,release_key
e,daily_prism_ad_20260202,Daily,Ad,,1,1,FreeDiamond,0,20,"2026-02-02 15:00:00","2026-02-28 14:59:59",1
e,daily_memory_colorless_20260202,Daily,Diamond,10,0,1,Item,memory_glo_00001,100,"2026-02-02 15:00:00","2026-02-28 14:59:59",1
e,daily_memory_red_20260202,Daily,Diamond,10,0,1,Item,memory_glo_00002,100,"2026-02-02 15:00:00","2026-02-28 14:59:59",1
e,daily_memory_green_20260202,Daily,Diamond,10,0,1,Item,memory_glo_00005,100,"2026-02-02 15:00:00","2026-02-28 14:59:59",1
e,daily_memory_blue_20260202,Daily,Diamond,10,0,1,Item,memory_glo_00003,100,"2026-02-02 15:00:00","2026-02-28 14:59:59",1
e,daily_memory_yellow_20260202,Daily,Diamond,10,0,1,Item,memory_glo_00004,100,"2026-02-02 15:00:00","2026-02-28 14:59:59",1
e,daily_rank_ticket_20260202,Daily,Diamond,30,0,1,Item,ticket_glo_00002,1,"2026-02-02 15:00:00","2026-02-28 14:59:59",1
e,weekly_prism_ad_20260202,Weekly,Ad,,1,1,FreeDiamond,0,30,"2026-02-02 15:00:00","2026-02-28 14:59:59",1
e,weekly_gacha_ticket_ad_20260202,Weekly,Ad,,1,1,Item,ticket_glo_00003,1,"2026-02-02 15:00:00","2026-02-28 14:59:59",1
e,weekly_rank_ticket_20260202,Weekly,Diamond,30,0,5,Item,ticket_glo_00002,1,"2026-02-02 15:00:00","2026-02-28 14:59:59",1
e,weekly_fragment_r_20260202,Weekly,Diamond,25,0,6,Item,memory_fragment_r_glo_00001,5,"2026-02-02 15:00:00","2026-02-28 14:59:59",1
e,weekly_fragment_sr_20260202,Weekly,Diamond,35,0,2,Item,memory_fragment_sr_glo_00001,5,"2026-02-02 15:00:00","2026-02-28 14:59:59",1
e,weekly_fragment_ssr_20260202,Weekly,Diamond,15,0,1,Item,memory_fragment_ssr_glo_00001,1,"2026-02-02 15:00:00","2026-02-28 14:59:59",1
e,coin_free_20260202,Coin,Free,0,0,1,Coin,0,3000,"2026-02-02 15:00:00","2026-02-28 14:59:59",1
e,coin_ad_20260202,Coin,Ad,,1,2,Coin,0,3000,"2026-02-02 15:00:00","2026-02-28 14:59:59",1
