Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,作成者,確認者,承認状況
,,,,,,平野,,社内承認済
パック,,,,,,,,
◆【お一人様1回まで購入可】「ヨル」バレンタインキャラパック,,,,,,,,
新規,,,,,,,,
■ID,,,,,,,,
■store_product_id,,,,,,,,
■Biling ID（ios）,,,,,,,,
■Biling ID（aos）,,,,,,,,
■基準価格(税込),1027.5,,,,,,,
■税別価格,934.0909091,,,,,,,
■割引価格(税込),980,■割引率,0.04622871046,,,,,
■税別割引価格,890.9090909,,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2026-02-10 15:00:00,〜,2026-03-02 10:59:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
<いばら姫> ヨル,有償販売,(無期限),1,1,0,300,300,0
ピックアップガシャチケット,有償販売,(無期限),1,1,0,300,300,0
カラーメモリー・レッド,有償販売,(無期限),750,750,0,0.27,202.5,0
メモリーフラグメント・初級,有償販売,(無期限),15,15,0,10,150,0
メモリーフラグメント・中級,有償販売,(無期限),5,5,0,15,75,0
コイン,無償販売,(無期限),15000,0,15000,0.01,0,150
ホワイトデーでもやる予定(男版）,,,,,合計,,1027.5,150
Lv.50までの強化で良いかな（Lv.50以上はちょっとやりすぎ感）,,,,,割引後価格,,980,▼おまけの割合
コインは要調整,,,,,割引,,0.04622871046,0.1530612245
"文字数考慮のため、パック名は""バレンタインキャラパック＋「二つ名を除いたキャラ名」""",,,,,,,,
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】「姫様」バレンタインキャラパック,,,,,,,,
新規,,,,,,,,
■ID,,,,,,,,
■store_product_id,,,,,,,,
■Biling ID（ios）,,,,,,,,
■Biling ID（aos）,,,,,,,,
■基準価格(税込),1027.5,,,,,,,
■税別価格,934.0909091,,,,,,,
■割引価格(税込),980,■割引率,0.04622871046,,,,,
■税別割引価格,890.9090909,,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2026-02-10 15:00:00,〜,2026-03-02 10:59:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
囚われの王女 姫様,有償販売,(無期限),1,1,0,300,300,0
ピックアップガシャチケット,有償販売,(無期限),1,1,0,300,300,0
カラーメモリー・グリーン,有償販売,(無期限),750,750,0,0.27,202.5,0
メモリーフラグメント・初級,有償販売,(無期限),15,15,0,10,150,0
メモリーフラグメント・中級,有償販売,(無期限),5,5,0,15,75,0
コイン,無償販売,(無期限),15000,0,15000,0.01,0,150
,,,,,合計,,1027.5,150
,,,,,割引後価格,,980,▼おまけの割合
,,,,,割引,,0.04622871046,0.1530612245
,,,,,,,,
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】「天乃 リリサ」バレンタインキャラパック,,,,,,,,
新規,,,,,,,,
■ID,,,,,,,,
■store_product_id,,,,,,,,
■Biling ID（ios）,,,,,,,,
■Biling ID（aos）,,,,,,,,
■基準価格(税込),1027.5,,,,,,,
■税別価格,934.0909091,,,,,,,
■割引価格(税込),980,■割引率,0.04622871046,,,,,
■税別割引価格,890.9090909,,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2026-02-10 15:00:00,〜,2026-03-02 10:59:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
リリエルに捧ぐ愛 天乃 リリサ,有償販売,(無期限),1,1,0,300,300,0
ピックアップガシャチケット,有償販売,(無期限),1,1,0,300,300,0
カラーメモリー・イエロー,有償販売,(無期限),750,750,0,0.27,202.5,0
メモリーフラグメント・初級,有償販売,(無期限),15,15,0,10,150,0
メモリーフラグメント・中級,有償販売,(無期限),5,5,0,15,75,0
コイン,無償販売,(無期限),15000,0,15000,0.01,0,150
,,,,,合計,,1027.5,150
,,,,,割引後価格,,980,▼おまけの割合
,,,,,割引,,0.04622871046,0.1530612245
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】「橘 美花莉」バレンタインキャラパック,,,,,,,,
新規,,,,,,,,
■ID,,,,,,,,
■store_product_id,,,,,,,,
■Biling ID（ios）,,,,,,,,
■Biling ID（aos）,,,,,,,,
■基準価格(税込),1027.5,,,,,,,
■税別価格,934.0909091,,,,,,,
■割引価格(税込),980,■割引率,0.04622871046,,,,,
■税別割引価格,890.9090909,,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2026-02-10 15:00:00,〜,2026-03-02 10:59:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
コスプレに託す乙女心 橘 美花莉,有償販売,(無期限),1,1,0,300,300,0
ピックアップガシャチケット,有償販売,(無期限),1,1,0,300,300,0
カラーメモリー・グリーン,有償販売,(無期限),750,750,0,0.27,202.5,0
メモリーフラグメント・初級,有償販売,(無期限),15,15,0,10,150,0
メモリーフラグメント・中級,有償販売,(無期限),5,5,0,15,75,0
コイン,無償販売,(無期限),15000,0,15000,0.01,0,150
,,,,,合計,,1027.5,150
,,,,,割引後価格,,980,▼おまけの割合
,,,,,割引,,0.04622871046,0.1530612245
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】「羽前 京香」バレンタインキャラパック,,,,,,,,
新規,,,,,,,,
■ID,,,,,,,,
■store_product_id,,,,,,,,
■Biling ID（ios）,,,,,,,,
■Biling ID（aos）,,,,,,,,
■基準価格(税込),1027.5,,,,,,,
■税別価格,934.0909091,,,,,,,
■割引価格(税込),980,■割引率,0.04622871046,,,,,
■税別割引価格,890.9090909,,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2026-02-10 15:00:00,〜,2026-03-02 10:59:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
誇り高き魔都の剣姫 羽前 京香,有償販売,(無期限),1,1,0,300,300,0
ピックアップガシャチケット,有償販売,(無期限),1,1,0,300,300,0
カラーメモリー・グリーン,有償販売,(無期限),750,750,0,0.27,202.5,0
メモリーフラグメント・初級,有償販売,(無期限),15,15,0,10,150,0
メモリーフラグメント・中級,有償販売,(無期限),5,5,0,15,75,0
コイン,無償販売,(無期限),15000,0,15000,0.01,0,150
,,,,,合計,,1027.5,150
,,,,,割引後価格,,980,▼おまけの割合
,,,,,割引,,0.04622871046,0.1530612245
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】「桜木 カナ」バレンタインキャラパック,,,,,,,,
新規,,,,,,,,
■ID,,,,,,,,
■store_product_id,,,,,,,,
■Biling ID（ios）,,,,,,,,
■Biling ID（aos）,,,,,,,,
■基準価格(税込),1027.5,,,,,,,
■税別価格,934.0909091,,,,,,,
■割引価格(税込),980,■割引率,0.04622871046,,,,,
■税別割引価格,890.9090909,,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2026-02-10 15:00:00,〜,2026-03-02 10:59:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
新人魔法少女 桜木 カナ,有償販売,(無期限),1,1,0,300,300,0
ピックアップガシャチケット,有償販売,(無期限),1,1,0,300,300,0
カラーメモリー・ブルー,有償販売,(無期限),750,750,0,0.27,202.5,0
メモリーフラグメント・初級,有償販売,(無期限),15,15,0,10,150,0
メモリーフラグメント・中級,有償販売,(無期限),5,5,0,15,75,0
コイン,無償販売,(無期限),15000,0,15000,0.01,0,150
,,,,,合計,,1027.5,150
,,,,,割引後価格,,980,▼おまけの割合
,,,,,割引,,0.04622871046,0.1530612245
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】「小舟 潮」バレンタインキャラパック,,,,,,,,
新規,,,,,,,,
■ID,,,,,,,,
■store_product_id,,,,,,,,
■Biling ID（ios）,,,,,,,,
■Biling ID（aos）,,,,,,,,
■基準価格(税込),1027.5,,,,,,,
■税別価格,934.0909091,,,,,,,
■割引価格(税込),980,■割引率,0.04622871046,,,,,
■税別割引価格,890.9090909,,,,,,,
■購入可能回数,1,,,,,,,
