memo
TABLE,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRankI18n
ENABLE,id,mst_advent_battle_id,rank_type,rank_level,required_lower_score,asset_key,release_key,name.ja
e,advent_battle_kim_rank_01,advent_battle_kim_season01,Score,1,1000,advent_battle_kim_bronze1,1,ブロンズ1
e,advent_battle_kim_rank_02,advent_battle_kim_season01,Score,2,2000,advent_battle_kim_bronze2,1,ブロンズ2
e,advent_battle_kim_rank_03,advent_battle_kim_season01,Score,3,3000,advent_battle_kim_bronze3,1,ブロンズ3
e,advent_battle_kim_rank_04,advent_battle_kim_season01,Score,4,4000,advent_battle_kim_bronze4,1,ブロンズ4
e,advent_battle_kim_rank_05,advent_battle_kim_season01,Score,5,5000,advent_battle_kim_silver1,1,シルバー1
e,advent_battle_kim_rank_06,advent_battle_kim_season01,Score,6,7500,advent_battle_kim_silver2,1,シルバー2
e,advent_battle_kim_rank_07,advent_battle_kim_season01,Score,7,10000,advent_battle_kim_silver3,1,シルバー3
e,advent_battle_kim_rank_08,advent_battle_kim_season01,Score,8,12500,advent_battle_kim_silver4,1,シルバー4
e,advent_battle_kim_rank_09,advent_battle_kim_season01,Score,9,15000,advent_battle_kim_gold1,1,ゴールド1
e,advent_battle_kim_rank_10,advent_battle_kim_season01,Score,10,30000,advent_battle_kim_gold2,1,ゴールド2
e,advent_battle_kim_rank_11,advent_battle_kim_season01,Score,11,50000,advent_battle_kim_gold3,1,ゴールド3
e,advent_battle_kim_rank_12,advent_battle_kim_season01,Score,12,75000,advent_battle_kim_gold4,1,ゴールド4
e,advent_battle_kim_rank_13,advent_battle_kim_season01,Score,13,100000,advent_battle_kim_master1,1,マスター1
e,advent_battle_kim_rank_14,advent_battle_kim_season01,Score,14,250000,advent_battle_kim_master2,1,マスター2
e,advent_battle_kim_rank_15,advent_battle_kim_season01,Score,15,500000,advent_battle_kim_master3,1,マスター3
e,advent_battle_kim_rank_16,advent_battle_kim_season01,Score,16,1000000,advent_battle_kim_master4,1,マスター4
