memo
TABLE,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward
ENABLE,id,mst_advent_battle_reward_group_id,resource_type,resource_id,resource_amount,release_key
e,advent_battle_kim_reward_0001,advent_battle_kim_rank_reward_01,FreeDiamond,,10,1
e,advent_battle_kim_reward_0002,advent_battle_kim_rank_reward_01,Coin,,1000,1
e,advent_battle_kim_reward_0003,advent_battle_kim_rank_reward_01,Item,item_glo_00001,1,1
e,advent_battle_kim_reward_0004,advent_battle_kim_rank_reward_02,FreeDiamond,,10,1
e,advent_battle_kim_reward_0005,advent_battle_kim_rank_reward_02,Coin,,1000,1
e,advent_battle_kim_reward_0006,advent_battle_kim_rank_reward_02,Item,item_glo_00001,1,1
e,advent_battle_kim_reward_0007,advent_battle_kim_rank_reward_03,FreeDiamond,,10,1
e,advent_battle_kim_reward_0008,advent_battle_kim_rank_reward_03,Coin,,1000,1
e,advent_battle_kim_reward_0009,advent_battle_kim_rank_reward_03,Item,item_glo_00001,1,1
e,advent_battle_kim_reward_0010,advent_battle_kim_rank_reward_04,FreeDiamond,,10,1
e,advent_battle_kim_reward_0011,advent_battle_kim_rank_reward_04,Coin,,1000,1
e,advent_battle_kim_reward_0012,advent_battle_kim_rank_reward_04,Item,item_glo_00001,1,1
e,advent_battle_kim_reward_0013,advent_battle_kim_rank_reward_05,FreeDiamond,,20,1
e,advent_battle_kim_reward_0014,advent_battle_kim_rank_reward_05,Coin,,2000,1
e,advent_battle_kim_reward_0015,advent_battle_kim_rank_reward_05,Item,item_glo_00001,1,1
e,advent_battle_kim_reward_0016,advent_battle_kim_rank_reward_06,FreeDiamond,,20,1
e,advent_battle_kim_reward_0017,advent_battle_kim_rank_reward_06,Coin,,2000,1
e,advent_battle_kim_reward_0018,advent_battle_kim_rank_reward_06,Item,item_glo_00001,1,1
e,advent_battle_kim_reward_0019,advent_battle_kim_rank_reward_07,FreeDiamond,,20,1
e,advent_battle_kim_reward_0020,advent_battle_kim_rank_reward_07,Coin,,2000,1
e,advent_battle_kim_reward_0021,advent_battle_kim_rank_reward_07,Item,item_glo_00001,2,1
e,advent_battle_kim_reward_0022,advent_battle_kim_rank_reward_08,FreeDiamond,,20,1
e,advent_battle_kim_reward_0023,advent_battle_kim_rank_reward_08,Coin,,2000,1
e,advent_battle_kim_reward_0024,advent_battle_kim_rank_reward_08,Item,item_glo_00001,2,1
e,advent_battle_kim_reward_0025,advent_battle_kim_rank_reward_09,FreeDiamond,,30,1
e,advent_battle_kim_reward_0026,advent_battle_kim_rank_reward_09,Coin,,3000,1
e,advent_battle_kim_reward_0027,advent_battle_kim_rank_reward_09,Item,item_glo_00001,2,1
