memo
TABLE,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup
ENABLE,id,mst_advent_battle_id,reward_category,condition_value,release_key
e,advent_battle_kim_rank_reward_01,advent_battle_kim_season01,Rank,1,1
e,advent_battle_kim_rank_reward_02,advent_battle_kim_season01,Rank,2,1
e,advent_battle_kim_rank_reward_03,advent_battle_kim_season01,Rank,3,1
e,advent_battle_kim_rank_reward_04,advent_battle_kim_season01,Rank,4,1
e,advent_battle_kim_rank_reward_05,advent_battle_kim_season01,Rank,5,1
e,advent_battle_kim_rank_reward_06,advent_battle_kim_season01,Rank,6,1
e,advent_battle_kim_rank_reward_07,advent_battle_kim_season01,Rank,7,1
e,advent_battle_kim_rank_reward_08,advent_battle_kim_season01,Rank,8,1
e,advent_battle_kim_rank_reward_09,advent_battle_kim_season01,Rank,9,1
e,advent_battle_kim_rank_reward_10,advent_battle_kim_season01,Rank,10,1
e,advent_battle_kim_rank_reward_11,advent_battle_kim_season01,Rank,11,1
e,advent_battle_kim_rank_reward_12,advent_battle_kim_season01,Rank,12,1
e,advent_battle_kim_rank_reward_13,advent_battle_kim_season01,Rank,13,1
e,advent_battle_kim_rank_reward_14,advent_battle_kim_season01,Rank,14,1
e,advent_battle_kim_rank_reward_15,advent_battle_kim_season01,Rank,15,1
e,advent_battle_kim_rank_reward_16,advent_battle_kim_season01,Rank,16,1
e,advent_battle_kim_score_reward_01,advent_battle_kim_season01,HighScore,5000,1
e,advent_battle_kim_score_reward_02,advent_battle_kim_season01,HighScore,10000,1
e,advent_battle_kim_score_reward_03,advent_battle_kim_season01,HighScore,15000,1
e,advent_battle_kim_score_reward_04,advent_battle_kim_season01,HighScore,20000,1
e,advent_battle_kim_score_reward_05,advent_battle_kim_season01,HighScore,30000,1
e,advent_battle_kim_score_reward_06,advent_battle_kim_season01,HighScore,40000,1
e,advent_battle_kim_score_reward_07,advent_battle_kim_season01,HighScore,50000,1
e,advent_battle_kim_score_reward_08,advent_battle_kim_season01,HighScore,75000,1
e,advent_battle_kim_score_reward_09,advent_battle_kim_season01,HighScore,100000,1
e,advent_battle_kim_score_reward_10,advent_battle_kim_season01,HighScore,150000,1
e,advent_battle_kim_score_reward_11,advent_battle_kim_season01,HighScore,200000,1
