memo
TABLE,MstExchangeCost,MstExchangeCost,MstExchangeCost,MstExchangeCost,MstExchangeCost,MstExchangeCost
ENABLE,id,mst_exchange_lineup_id,cost_type,cost_id,cost_amount,release_key
e,kim_exchange_prism_01_cost,kim_exchange_prism_01,Item,item_kim_00001,1000,1
e,kim_exchange_prism_02_cost,kim_exchange_prism_02,Item,item_kim_00001,2500,1
e,kim_exchange_hanazono_kaori_piece_01_cost,kim_exchange_hanazono_kaori_piece_01,Item,item_kim_00001,5000,1
e,kim_exchange_hanazono_kaori_piece_02_cost,kim_exchange_hanazono_kaori_piece_02,Item,item_kim_00001,10000,1
e,kim_exchange_inuta_ne_piece_01_cost,kim_exchange_inuta_ne_piece_01,Item,item_kim_00001,5000,1
e,kim_exchange_inuta_ne_piece_02_cost,kim_exchange_inuta_ne_piece_02,Item,item_kim_00001,10000,1
e,kim_exchange_yoshimoto_shizuka_piece_01_cost,kim_exchange_yoshimoto_shizuka_piece_01,Item,item_kim_00001,5000,1
e,kim_exchange_yoshimoto_shizuka_piece_02_cost,kim_exchange_yoshimoto_shizuka_piece_02,Item,item_kim_00001,10000,1
e,kim_exchange_emblem_hanari_cost,kim_exchange_emblem_hanari,Item,item_kim_00001,10000,1
e,kim_exchange_emblem_kaori_cost,kim_exchange_emblem_kaori,Item,item_kim_00001,10000,1
e,kim_exchange_emblem_ne_cost,kim_exchange_emblem_ne,Item,item_kim_00001,10000,1
e,kim_exchange_emblem_shizuka_cost,kim_exchange_emblem_shizuka,Item,item_kim_00001,10000,1
e,kim_exchange_special_ticket_cost,kim_exchange_special_ticket,Item,item_kim_00001,7500,1
e,kim_exchange_pickup_ticket_cost,kim_exchange_pickup_ticket,Item,item_kim_00001,7500,1
e,kim_exchange_memory_low_cost,kim_exchange_memory_low,Item,item_kim_00001,1000,1
e,kim_exchange_memory_mid_cost,kim_exchange_memory_mid,Item,item_kim_00001,2500,1
e,kim_exchange_memory_high_cost,kim_exchange_memory_high,Item,item_kim_00001,5000,1
e,kim_exchange_color_grey_cost,kim_exchange_color_grey,Item,item_kim_00001,500,1
e,kim_exchange_color_red_cost,kim_exchange_color_red,Item,item_kim_00001,500,1
e,kim_exchange_color_blue_cost,kim_exchange_color_blue,Item,item_kim_00001,500,1
e,kim_exchange_color_yellow_cost,kim_exchange_color_yellow,Item,item_kim_00001,500,1
e,kim_exchange_color_green_cost,kim_exchange_color_green,Item,item_kim_00001,500,1
e,kim_exchange_coin_cost,kim_exchange_coin,Item,item_kim_00001,300,1
