memo
TABLE,MstExchangeLineup,MstExchangeLineup,MstExchangeLineup,MstExchangeLineup,MstExchangeLineup
ENABLE,id,group_id,tradable_count,display_order,release_key
e,exchange_kim_lineup_01,exchange_kim_lineup,1,1,1
e,exchange_kim_lineup_02,exchange_kim_lineup,14,2,1
e,exchange_kim_lineup_03,exchange_kim_lineup,10,3,1
e,exchange_kim_lineup_04,exchange_kim_lineup,10,4,1
e,exchange_kim_lineup_05,exchange_kim_lineup,10,5,1
e,exchange_kim_lineup_06,exchange_kim_lineup,10,6,1
e,exchange_kim_lineup_07,exchange_kim_lineup,10,7,1
e,exchange_kim_lineup_08,exchange_kim_lineup,10,8,1
e,exchange_kim_lineup_09,exchange_kim_lineup,1,9,1
e,exchange_kim_lineup_10,exchange_kim_lineup,1,10,1
e,exchange_kim_lineup_11,exchange_kim_lineup,1,11,1
e,exchange_kim_lineup_12,exchange_kim_lineup,1,12,1
e,exchange_kim_lineup_13,exchange_kim_lineup,3,13,1
e,exchange_kim_lineup_14,exchange_kim_lineup,3,14,1
e,exchange_kim_lineup_15,exchange_kim_lineup,100,15,1
e,exchange_kim_lineup_16,exchange_kim_lineup,50,16,1
e,exchange_kim_lineup_17,exchange_kim_lineup,10,17,1
e,exchange_kim_lineup_18,exchange_kim_lineup,10,18,1
e,exchange_kim_lineup_19,exchange_kim_lineup,10,19,1
e,exchange_kim_lineup_20,exchange_kim_lineup,10,20,1
e,exchange_kim_lineup_21,exchange_kim_lineup,10,21,1
e,exchange_kim_lineup_22,exchange_kim_lineup,10,22,1
e,exchange_kim_lineup_23,exchange_kim_lineup,1000,23,1
