memo
TABLE,MstExchangeReward,MstExchangeReward,MstExchangeReward,MstExchangeReward,MstExchangeReward,MstExchangeReward
ENABLE,id,mst_exchange_lineup_id,resource_type,resource_id,resource_amount,release_key
e,kim_exchange_prism_01_reward,kim_exchange_prism_01,FreeDiamond,__NULL__,30,1
e,kim_exchange_prism_02_reward,kim_exchange_prism_02,FreeDiamond,__NULL__,50,1
e,kim_exchange_hanazono_kaori_piece_01_reward,kim_exchange_hanazono_kaori_piece_01,Item,piece_kim_00101,1,1
e,kim_exchange_hanazono_kaori_piece_02_reward,kim_exchange_hanazono_kaori_piece_02,Item,piece_kim_00101,2,1
e,kim_exchange_inuta_ne_piece_01_reward,kim_exchange_inuta_ne_piece_01,Item,piece_kim_00201,1,1
e,kim_exchange_inuta_ne_piece_02_reward,kim_exchange_inuta_ne_piece_02,Item,piece_kim_00201,2,1
e,kim_exchange_yoshimoto_shizuka_piece_01_reward,kim_exchange_yoshimoto_shizuka_piece_01,Item,piece_kim_00301,1,1
e,kim_exchange_yoshimoto_shizuka_piece_02_reward,kim_exchange_yoshimoto_shizuka_piece_02,Item,piece_kim_00301,2,1
e,kim_exchange_emblem_hanari_reward,kim_exchange_emblem_hanari,Emblem,emblem_event_kim_00002,1,1
e,kim_exchange_emblem_kaori_reward,kim_exchange_emblem_kaori,Emblem,emblem_event_kim_00003,1,1
e,kim_exchange_emblem_ne_reward,kim_exchange_emblem_ne,Emblem,emblem_event_kim_00004,1,1
e,kim_exchange_emblem_shizuka_reward,kim_exchange_emblem_shizuka,Emblem,emblem_event_kim_00005,1,1
e,kim_exchange_special_ticket_reward,kim_exchange_special_ticket,Item,ticket_glo_00004,1,1
e,kim_exchange_pickup_ticket_reward,kim_exchange_pickup_ticket,Item,ticket_glo_00003,1,1
e,kim_exchange_memory_low_reward,kim_exchange_memory_low,Item,memory_fragment_low,1,1
e,kim_exchange_memory_mid_reward,kim_exchange_memory_mid,Item,memory_fragment_mid,1,1
e,kim_exchange_memory_high_reward,kim_exchange_memory_high,Item,memory_fragment_high,1,1
e,kim_exchange_color_grey_reward,kim_exchange_color_grey,Item,color_memory_grey,50,1
e,kim_exchange_color_red_reward,kim_exchange_color_red,Item,color_memory_red,50,1
e,kim_exchange_color_blue_reward,kim_exchange_color_blue,Item,color_memory_blue,50,1
e,kim_exchange_color_yellow_reward,kim_exchange_color_yellow,Item,color_memory_yellow,50,1
e,kim_exchange_color_green_reward,kim_exchange_color_green,Item,color_memory_green,50,1
e,kim_exchange_coin_reward,kim_exchange_coin,Coin,__NULL__,100,1
