memo
TABLE,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward
ENABLE,id,release_key,group_id,resource_type,resource_id,resource_amount,sort_order
e,kim_mission_reward_001,1,mission_kim_reward_001,Coin,__NULL__,5000,1
e,kim_mission_reward_002,1,mission_kim_reward_002,Coin,__NULL__,5000,1
e,kim_mission_reward_003,1,mission_kim_reward_003,Coin,__NULL__,5000,1
e,kim_mission_reward_004,1,mission_kim_reward_004,Item,ticket_glo_00003,1,1
e,kim_mission_reward_005,1,mission_kim_reward_005,Coin,__NULL__,10000,1
e,kim_mission_reward_006,1,mission_kim_reward_006,Item,ticket_glo_00004,1,1
e,kim_mission_reward_007,1,mission_kim_reward_007,Item,piece_kim_00101,10,1
e,kim_mission_reward_008,1,mission_kim_reward_008,Item,ticket_glo_00004,1,1
e,kim_mission_reward_009,1,mission_kim_reward_009,Item,piece_kim_00201,10,1
e,kim_mission_reward_010,1,mission_kim_reward_010,Item,ticket_glo_00004,1,1
e,kim_mission_reward_011,1,mission_kim_reward_011,FreeDiamond,__NULL__,50,1
e,kim_mission_reward_012,1,mission_kim_reward_012,Item,ticket_glo_00003,1,1
e,kim_mission_reward_013,1,mission_kim_reward_013,Item,piece_kim_00301,10,1
e,kim_mission_reward_014,1,mission_kim_reward_014,Item,ticket_glo_00004,1,1
e,kim_mission_reward_015,1,mission_kim_reward_015,Item,memory_fragment_high,1,1
e,kim_mission_reward_016,1,mission_kim_reward_016,Item,ticket_glo_00004,1,1
e,kim_mission_reward_017,1,mission_kim_reward_017,Item,ticket_glo_00003,1,1
e,kim_mission_reward_018,1,mission_kim_reward_018,Item,ticket_glo_00004,1,1
e,kim_mission_reward_019,1,mission_kim_reward_019,FreeDiamond,__NULL__,50,1
e,kim_mission_reward_020,1,mission_kim_reward_020,Item,ticket_glo_00004,1,1
e,kim_mission_reward_021,1,mission_kim_reward_021,Item,memory_fragment_high,1,1
e,kim_mission_reward_022,1,mission_kim_reward_022,Item,ticket_kim_00001,1,1
e,kim_mission_reward_023,1,mission_kim_reward_023,Coin,__NULL__,15000,1
e,kim_mission_reward_024,1,mission_kim_reward_024,Coin,__NULL__,10000,1
e,kim_mission_reward_025,1,mission_kim_reward_025,Item,ticket_glo_00004,3,1
e,kim_mission_reward_026,1,mission_kim_reward_026,Item,ticket_glo_00003,1,1
e,kim_mission_reward_027,1,mission_kim_reward_027,Item,memory_fragment_low,5,1
e,kim_mission_reward_028,1,mission_kim_reward_028,Item,memory_fragment_low,5,1
e,kim_mission_reward_029,1,mission_kim_reward_029,Item,memory_fragment_low,5,1
e,kim_mission_reward_030,1,mission_kim_reward_030,Item,memory_fragment_low,5,1
e,kim_mission_reward_031,1,mission_kim_reward_031,Item,memory_fragment_low,10,1
e,kim_mission_reward_032,1,mission_kim_reward_032,Item,memory_fragment_mid,5,1
e,kim_mission_reward_033,1,mission_kim_reward_033,Item,memory_fragment_mid,5,1
e,kim_mission_reward_034,1,mission_kim_reward_034,Item,memory_fragment_mid,5,1
e,kim_mission_reward_035,1,mission_kim_reward_035,Item,memory_fragment_mid,5,1
e,kim_mission_reward_036,1,mission_kim_reward_036,Item,memory_fragment_high,1,1
e,kim_mission_reward_037,1,mission_kim_reward_037,Item,memory_fragment_high,1,1
e,kim_mission_reward_038,1,mission_kim_reward_038,Item,memory_fragment_high,1,1
e,kim_mission_reward_039,1,mission_kim_reward_039,Item,ticket_glo_00003,1,1
e,kim_advent_reward_001,1,mission_kim_advent_reward_001,FreeDiamond,__NULL__,50,1
e,kim_advent_reward_001_2,1,mission_kim_advent_reward_001,Item,memory_fragment_low,5,2
e,kim_advent_reward_002,1,mission_kim_advent_reward_002,FreeDiamond,__NULL__,100,1
e,kim_advent_reward_002_2,1,mission_kim_advent_reward_002,Item,memory_fragment_mid,5,2
e,kim_advent_reward_003,1,mission_kim_advent_reward_003,FreeDiamond,__NULL__,150,1
e,kim_advent_reward_003_2,1,mission_kim_advent_reward_003,Item,memory_fragment_high,1,2
e,kim_advent_reward_004,1,mission_kim_advent_reward_004,Item,ticket_glo_00003,1,1
e,kim_advent_reward_004_2,1,mission_kim_advent_reward_004,Item,memory_fragment_high,2,2
