memo
TABLE,OprGachaPrize,OprGachaPrize,OprGachaPrize,OprGachaPrize,OprGachaPrize,OprGachaPrize,OprGachaPrize,OprGachaPrize
ENABLE,id,group_id,resource_type,resource_id,resource_amount,weight,pickup,release_key
e,kim_prize_a_ur_pickup,kim_prize_group_a,Unit,chara_kim_00001,1,7020,1,1
e,kim_prize_a_ur_001,kim_prize_group_a,Unit,chara_sur_00501,1,1755,0,1
e,kim_prize_a_ur_002,kim_prize_group_a,Unit,chara_jig_00001,1,1755,0,1
e,kim_prize_a_ur_003,kim_prize_group_a,Unit,chara_dan_00002,1,1755,0,1
e,kim_prize_a_ur_004,kim_prize_group_a,Unit,chara_gom_00001,1,1755,0,1
e,kim_prize_a_ur_005,kim_prize_group_a,Unit,chara_kai_00002,1,1755,0,1
e,kim_prize_a_ur_006,kim_prize_group_a,Unit,chara_yuw_00001,1,1755,0,1
e,kim_prize_a_ur_007,kim_prize_group_a,Unit,chara_osh_00101,1,1755,0,1
e,kim_prize_a_ur_008,kim_prize_group_a,Unit,chara_osh_00201,1,1755,0,1
e,kim_prize_a_ur_009,kim_prize_group_a,Unit,chara_osh_00301,1,1755,0,1
e,kim_prize_a_ur_010,kim_prize_group_a,Unit,chara_osh_00401,1,1755,0,1
e,kim_prize_a_ur_011,kim_prize_group_a,Unit,chara_osh_00501,1,1755,0,1
e,kim_prize_a_ur_012,kim_prize_group_a,Unit,chara_osh_00601,1,1755,0,1
e,kim_prize_a_ssr_pickup,kim_prize_group_a,Unit,chara_kim_00101,1,14040,1,1
e,kim_prize_a_ssr_001,kim_prize_group_a,Unit,chara_dan_00101,1,8840,0,1
e,kim_prize_a_ssr_002,kim_prize_group_a,Unit,chara_gom_00101,1,8840,0,1
e,kim_prize_a_ssr_003,kim_prize_group_a,Unit,chara_kai_00301,1,8840,0,1
e,kim_prize_a_ssr_004,kim_prize_group_a,Unit,chara_jig_00101,1,8840,0,1
e,kim_prize_a_ssr_005,kim_prize_group_a,Unit,chara_sur_00201,1,8840,0,1
e,kim_prize_a_ssr_006,kim_prize_group_a,Unit,chara_sur_00301,1,8840,0,1
e,kim_prize_a_ssr_007,kim_prize_group_a,Unit,chara_yuw_00101,1,8840,0,1
e,kim_prize_a_ssr_008,kim_prize_group_a,Unit,chara_yuw_00201,1,8840,0,1
e,kim_prize_a_ssr_009,kim_prize_group_a,Unit,chara_yuw_00301,1,8840,0,1
e,kim_prize_a_sr_001,kim_prize_group_a,Unit,chara_gom_00001,1,32760,0,1
e,kim_prize_a_sr_002,kim_prize_group_a,Unit,chara_kai_00101,1,32760,0,1
e,kim_prize_a_sr_003,kim_prize_group_a,Unit,chara_sur_00001,1,32760,0,1
e,kim_prize_a_sr_004,kim_prize_group_a,Unit,chara_jig_00201,1,32760,0,1
e,kim_prize_a_sr_005,kim_prize_group_a,Unit,chara_jig_00301,1,32760,0,1
e,kim_prize_a_sr_006,kim_prize_group_a,Unit,chara_dan_00001,1,32760,0,1
e,kim_prize_a_sr_007,kim_prize_group_a,Unit,chara_chi_00001,1,32760,0,1
e,kim_prize_a_sr_008,kim_prize_group_a,Unit,chara_dos_00001,1,32760,0,1
e,kim_prize_a_sr_009,kim_prize_group_a,Unit,chara_dos_00101,1,32760,0,1
e,kim_prize_a_sr_010,kim_prize_group_a,Unit,chara_sum_00001,1,32760,0,1
e,kim_prize_a_r_001,kim_prize_group_a,Unit,chara_glo_00001,1,54080,0,1
e,kim_prize_a_r_002,kim_prize_group_a,Unit,chara_glo_00002,1,54080,0,1
e,kim_prize_a_r_003,kim_prize_group_a,Unit,chara_glo_00101,1,54080,0,1
e,kim_prize_a_r_004,kim_prize_group_a,Unit,chara_glo_00102,1,54080,0,1
e,kim_prize_a_r_005,kim_prize_group_a,Unit,chara_glo_00111,1,54080,0,1
e,kim_prize_a_r_006,kim_prize_group_a,Unit,chara_glo_00112,1,54080,0,1
e,kim_prize_a_r_007,kim_prize_group_a,Unit,chara_glo_00113,1,54080,0,1
e,kim_prize_a_r_008,kim_prize_group_a,Unit,chara_glo_00121,1,54080,0,1
e,kim_prize_a_r_009,kim_prize_group_a,Unit,chara_glo_00122,1,54080,0,1
e,kim_prize_b_ur_pickup,kim_prize_group_b,Unit,chara_kim_00001,1,7020,1,1
e,kim_prize_b_ur_001,kim_prize_group_b,Unit,chara_sur_00501,1,1755,0,1
e,kim_prize_b_ur_002,kim_prize_group_b,Unit,chara_jig_00001,1,1755,0,1
e,kim_prize_b_ur_003,kim_prize_group_b,Unit,chara_dan_00002,1,1755,0,1
e,kim_prize_b_ur_004,kim_prize_group_b,Unit,chara_gom_00001,1,1755,0,1
e,kim_prize_b_ur_005,kim_prize_group_b,Unit,chara_kai_00002,1,1755,0,1
e,kim_prize_b_ur_006,kim_prize_group_b,Unit,chara_yuw_00001,1,1755,0,1
e,kim_prize_b_ur_007,kim_prize_group_b,Unit,chara_osh_00101,1,1755,0,1
e,kim_prize_b_ur_008,kim_prize_group_b,Unit,chara_osh_00201,1,1755,0,1
e,kim_prize_b_ur_009,kim_prize_group_b,Unit,chara_osh_00301,1,1755,0,1
e,kim_prize_b_ur_010,kim_prize_group_b,Unit,chara_osh_00401,1,1755,0,1
