施策区分,カテゴリ１,カテゴリ２,用途,バナー作成依頼用No.,項目,要件, 画像,仕様,"デザイナー
担当者","プランナー
担当者",規格,"アップ先
S3/AB",制作頻度,数量,"命名規則
※[ ]内はマスターデータ・運用単位で命名が変化します",画像名サンプル,"アップ確認
",制作期日,Unnamed: 19,ID一覧,担当班,格納ドライブ
通常,パック,バナー,,1.0,【パック】無料パック,,,"商品販売を再検討中。やらなくなるかも。
ショップ画面で使用できるパック用のバナーの確認は引き続きお願いしたい",不要,,,,単発,,,,未対応,,,,,
通常,,,,2.0,【ホームバナー】無料パック,,,,不要,,,,,,,,未対応,,,,,
通常,,,,3.0,【お知らせ】無料パック,,,,不要,,,,,,,,未対応,,,,,
通常,パック,バナー,,4.0,【パック】◆【お一人様11回まで購入可】スタートダッシュキャラパック,,,https://docs.google.com/presentation/d/1BKau_Pbd_pNog7d5YIrieh7QucKBfy6gt6dV0qY80ns/edit#slide=id.g34f002aa3ea_0_92,江村,,668×220,AB,単発,1,shop_pack_banner_[:asset_key],shop_pack_banner_pack_00001,アップ済み,,,,,
通常,お知らせ,バナー,,5.0,【ホームバナー】◆【お一人様11回まで購入可】スタートダッシュキャラパック,,,https://docs.google.com/presentation/d/1BKau_Pbd_pNog7d5YIrieh7QucKBfy6gt6dV0qY80ns/edit#slide=id.g34f002aa3ea_0_92,江村,,244×80,S3,単発,1,hometop_[:png_name],hometop_shop_pack_00001,アップ済み,,,,,
通常,お知らせ,バナー,,6.0,【お知らせ】◆【お一人様11回まで購入可】スタートダッシュキャラパック,,,https://docs.google.com/presentation/d/1BKau_Pbd_pNog7d5YIrieh7QucKBfy6gt6dV0qY80ns/edit#slide=id.g34f002aa3ea_0_92,江村,,668×220,S3,単発,1,notice_[:png_name],notice_shop_pack_00001,アップ済み,,,,,
通常,パック,バナー,,7.0,【パック】◆【お一人様1回まで購入可】スタートダッシュアイテムパック,,,https://docs.google.com/presentation/d/1BKau_Pbd_pNog7d5YIrieh7QucKBfy6gt6dV0qY80ns/edit#slide=id.g34f002aa3ea_0_12,江村,,668×220,AB,単発,1,shop_pack_banner_[:asset_key],shop_pack_banner_pack_00002,再調整,,←一応アップ済み,,,
通常,お知らせ,バナー,,8.0,【ホームバナー】◆【お一人様1回まで購入可】スタートダッシュアイテムパック,,,https://docs.google.com/presentation/d/1BKau_Pbd_pNog7d5YIrieh7QucKBfy6gt6dV0qY80ns/edit#slide=id.g34f002aa3ea_0_12,江村,,244×80,S3,単発,1,hometop_[:png_name],hometop_shop_pack_00002,アップ済み,,,,,
通常,お知らせ,バナー,,9.0,【お知らせ】◆【お一人様1回まで購入可】スタートダッシュアイテムパック,,,https://docs.google.com/presentation/d/1BKau_Pbd_pNog7d5YIrieh7QucKBfy6gt6dV0qY80ns/edit#slide=id.g34f002aa3ea_0_12,江村,,668×220,S3,単発,1,notice_[:png_name],notice_shop_pack_00002,アップ済み,,,,,
通常,パック,バナー,,10.0,【パック】◆【お一人様1回まで購入可】ジャンブルパック,,,https://docs.google.com/spreadsheets/d/1iz7a09EcpM3FOA9zJIazJvAeekxGhihTOIPKejk2J3s/edit?gid=771075141#gid=771075141&range=B83,不要,,,,単発,,,,,,,,,
いいジャン祭,パック,バナー,,11.0,【パック】◆【お一人様1回まで購入可】いいジャン祭パック,,,"未定
IPは使わずに単発でやる想定
キャラを専用でパックで販売する可能性はあるが、

周年とかで発生する可能性はある
https://docs.google.com/spreadsheets/d/1iz7a09EcpM3FOA9zJIazJvAeekxGhihTOIPKejk2J3s/edit?gid=771075141#gid=771075141&range=B102",不要,,,AB,都度,,,,,,,,,
記念,パス,バナー,,12.0,【パス】◆リリース記念プレミアムパス,,,すでにあるプレミアムパスを使う,不要,,,,単発,,,,,,,,,
記念,お知らせ,バナー,,13.0,【お知らせ】◆リリース記念プレミアムパス,M,,https://docs.google.com/presentation/d/1BKau_Pbd_pNog7d5YIrieh7QucKBfy6gt6dV0qY80ns/edit?slide=id.g34f002aa3ea_0_34#slide=id.g34f002aa3ea_0_34,望月,,668×220,S3,都度,1,notice_[:png_name],notice_shop_pass_00002,アップ済み,,,,,
記念,お知らせ,バナー,,14.0,【ホームバナー】◆リリース記念プレミアムパス,S,,https://docs.google.com/presentation/d/1BKau_Pbd_pNog7d5YIrieh7QucKBfy6gt6dV0qY80ns/edit?slide=id.g34f002aa3ea_0_34#slide=id.g34f002aa3ea_0_34,望月,,244×80,S3,都度,1,hometop_[:png_name],hometop_shop_pass_00002,アップ済み,,,,,
,,,,15.0,【パス】◆プレミアムパス(prefab),prefab/素材,,,山本,,"668×539(最大)
表示する効果や報酬によって可変",prefab組み込み,,1,PassShopProduct[:shop_pass_cell_color]ListCell,PassShopProductGoldListCell.prefab,アップ済み,,,,,
,,,,16.0,【パス】◆プレミアムパス,,,制作済み,山本,,224×194,AB,,1,shop_pass_icon_[:png_name],shop_pass_icon_premium,アップ済み,,,,,
,,,,17.0,【パス】◆マンスリーパス(prefab),prefab/素材,,,山本,,"668×539(最大)
表示する効果や報酬によって可変",prefab組み込み,,1,PassShopProduct[:shop_pass_cell_color]ListCell,PassShopProductPurpleListCell.prefab,アップ済み,,,,,
通常,パス,バナー,,18.0,【パス】◆マンスリーパス,,,制作済み,山本,,224×194,AB,,1,shop_pass_icon_[:png_name],shop_pass_icon_monthly,アップ済み,,,,,
通常,パス,バナー,,19.0,【お知らせ】◆マンスリーパス,M,,https://docs.google.com/presentation/d/1BKau_Pbd_pNog7d5YIrieh7QucKBfy6gt6dV0qY80ns/edit#slide=id.g34f002aa3ea_0_72,望月,,668×220,S3,都度,1,notice_[:png_name],notice_shop_pass_00001,アップ済み,,,,,
通常,パス,バナー,,20.0,【ホームバナー】◆マンスリーパス,S,,https://docs.google.com/presentation/d/1BKau_Pbd_pNog7d5YIrieh7QucKBfy6gt6dV0qY80ns/edit#slide=id.g34f002aa3ea_0_72,望月,,244×80,S3,都度,1,hometop_[:png_name],hometop_shop_pass_00001,アップ済み,,,,,
,,,,21.0,【パス】銀色のウィークリーパス(prefab),,,,山本,,"668×539(最大)
表示する効果や報酬によって可変",prefab組み込み,,1,PassShopProduct[:shop_pass_cell_color]ListCell,PassShopProductSilverListCell.prefab,アップ済み,,,,,
通常,パス,バナー,,22.0,【パス】銀色のウィークリーパス(アイコン),,,https://docs.google.com/spreadsheets/d/1iz7a09EcpM3FOA9zJIazJvAeekxGhihTOIPKejk2J3s/edit?gid=771075141#gid=771075141&range=206:206,山本,,224×194,AB,単発,1,shop_pass_icon_[:asset_key],shop_pass_icon_weekly,アップ済み,,,,,
通常,,,,23.0,【お知らせ】◆ウィークリーパス,不要,,不要,不要,,,,,,,,,,,,,
通常,,,,24.0,【ホームバナー】◆ウィークリーパス,不要,,不要,不要,,,,,,,,,,,,,
