memo
TABLE,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup
ENABLE,id,mst_advent_battle_id,reward_category,condition_value,release_key
e,advent_battle_christmas_20251222_reward_group_rank_01,advent_battle_christmas_20251222,Rank,1000,1
e,advent_battle_christmas_20251222_reward_group_rank_02,advent_battle_christmas_20251222,Rank,2000,1
e,advent_battle_christmas_20251222_reward_group_rank_03,advent_battle_christmas_20251222,Rank,3000,1
e,advent_battle_christmas_20251222_reward_group_rank_04,advent_battle_christmas_20251222,Rank,4000,1
e,advent_battle_christmas_20251222_reward_group_rank_05,advent_battle_christmas_20251222,Rank,5000,1
e,advent_battle_christmas_20251222_reward_group_rank_06,advent_battle_christmas_20251222,Rank,7500,1
e,advent_battle_christmas_20251222_reward_group_rank_07,advent_battle_christmas_20251222,Rank,10000,1
e,advent_battle_christmas_20251222_reward_group_rank_08,advent_battle_christmas_20251222,Rank,12500,1
e,advent_battle_christmas_20251222_reward_group_rank_09,advent_battle_christmas_20251222,Rank,15000,1
e,advent_battle_christmas_20251222_reward_group_rank_10,advent_battle_christmas_20251222,Rank,30000,1
e,advent_battle_christmas_20251222_reward_group_rank_11,advent_battle_christmas_20251222,Rank,50000,1
e,advent_battle_christmas_20251222_reward_group_rank_12,advent_battle_christmas_20251222,Rank,75000,1
e,advent_battle_christmas_20251222_reward_group_rank_13,advent_battle_christmas_20251222,Rank,100000,1
e,advent_battle_christmas_20251222_reward_group_rank_14,advent_battle_christmas_20251222,Rank,250000,1
e,advent_battle_christmas_20251222_reward_group_rank_15,advent_battle_christmas_20251222,Rank,500000,1
e,advent_battle_christmas_20251222_reward_group_rank_16,advent_battle_christmas_20251222,Rank,1000000,1
e,advent_battle_christmas_20251222_reward_group_maxscore_01,advent_battle_christmas_20251222,MaxScore,5000,1
e,advent_battle_christmas_20251222_reward_group_maxscore_02,advent_battle_christmas_20251222,MaxScore,10000,1
e,advent_battle_christmas_20251222_reward_group_maxscore_03,advent_battle_christmas_20251222,MaxScore,15000,1
e,advent_battle_christmas_20251222_reward_group_maxscore_04,advent_battle_christmas_20251222,MaxScore,20000,1
e,advent_battle_christmas_20251222_reward_group_maxscore_05,advent_battle_christmas_20251222,MaxScore,30000,1
e,advent_battle_christmas_20251222_reward_group_maxscore_06,advent_battle_christmas_20251222,MaxScore,40000,1
e,advent_battle_christmas_20251222_reward_group_maxscore_07,advent_battle_christmas_20251222,MaxScore,50000,1
e,advent_battle_christmas_20251222_reward_group_maxscore_08,advent_battle_christmas_20251222,MaxScore,75000,1
e,advent_battle_christmas_20251222_reward_group_maxscore_09,advent_battle_christmas_20251222,MaxScore,100000,1
e,advent_battle_christmas_20251222_reward_group_maxscore_10,advent_battle_christmas_20251222,MaxScore,200000,1
e,advent_battle_christmas_20251222_reward_group_maxscore_11,advent_battle_christmas_20251222,MaxScore,300000,1
e,advent_battle_christmas_20251222_reward_group_ranking_01,advent_battle_christmas_20251222,Ranking,1,1
e,advent_battle_christmas_20251222_reward_group_ranking_02,advent_battle_christmas_20251222,Ranking,2,1
e,advent_battle_christmas_20251222_reward_group_ranking_03,advent_battle_christmas_20251222,Ranking,3,1
e,advent_battle_christmas_20251222_reward_group_ranking_04,advent_battle_christmas_20251222,Ranking,50,1
e,advent_battle_christmas_20251222_reward_group_ranking_05,advent_battle_christmas_20251222,Ranking,300,1
e,advent_battle_christmas_20251222_reward_group_ranking_06,advent_battle_christmas_20251222,Ranking,1000,1
e,advent_battle_christmas_20251222_reward_group_ranking_07,advent_battle_christmas_20251222,Ranking,5000,1
e,advent_battle_christmas_20251222_reward_group_ranking_08,advent_battle_christmas_20251222,Ranking,10000,1
e,advent_battle_christmas_20251222_reward_group_ranking_09,advent_battle_christmas_20251222,Ranking,Participation,1
