Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,▼Lv.上限開放関連,,,,,,"▼グレードアップに必要なかけらの数
（URキャラ1体の獲得確率に対してSSR、SR、R、それぞれ確率対比で計算し端数調整したもの）",,,,,←←←,"▼グレードアップに必要なかけらの数
（URキャラ1体の獲得確率に対してSSR、SR、R、それぞれ確率対比で計算し端数調整したもの）",,,,
,"レベル
/個数",全レアリティ共通,,,,,グレード数（凸数）,UR,SSR,SR,R,,グレード数（凸数）,UR,SSR,SR,R
,Lv.,カラーメモリー1種,"メモリーフラグメント
初級","メモリーフラグメント
中級","メモリーフラグメント
上級",,☆☆,10,20,30,50,,☆☆,10,33.33333333,116.6666667,173.3333333
,Lv.10,-,-,-,-,,☆☆☆,10,30,120,150,,☆☆☆,10,33.33333333,116.6666667,173.3333333
,Lv.20,200,-,-,-,,☆☆☆☆,10,40,150,200,,☆☆☆☆,10,33.33333333,116.6666667,173.3333333
,Lv.30,250,5,-,-,,☆☆☆☆☆,10,50,180,300,,☆☆☆☆☆,10,33.33333333,116.6666667,173.3333333
,Lv.40,300,10,5,-,,"⭐︎5までの必要な
キャラのかけらの個数",40,140,480,700,,"⭐︎5までの必要な
キャラのかけらの個数",40,133.3333333,466.6666667,693.3333333
,Lv.50,350,15,10,-,,"⭐︎5まで必要体数
（強化元のキャラが1体必要）",5,15,49,71,,"⭐︎5まで必要体数
（強化元のキャラが1体必要）",5,14.33333333,47.66666667,70.33333333
,Lv.60,400,20,15,3,,,,,,,,,,,,
,Lv.70,450,25,20,5,,レアリティ,ガシャ確率（%）,"URに対して各レアリティ
の対比",,,,,,,,
,1イベントの最大配布数,1950,75,50,8,,UR,3,1,,,,,,,,
,ストーリークエスト関連での報酬目安,1500,40,30,4,,SSR,10,3.333333333,,,,▼当初,,,,
,,"丸っとミッション
イベキャラの分は750*2ストーリークエスト","15*2はストーリークエスト
残り10は、ミッション","10*2はストーリークエスト
残り10は、ミッション","1*2はストーリークエスト
残り2は、ミッション",,SR,35,11.66666667,,,,グレード数（凸数）,UR,SSR,SR,R
,,,,,,,R,52,17.33333333,,,,☆☆,10,10,10,10
,,,,,,,合計,100,,,,,☆☆☆,20,20,20,20
,,レアリティ,Lv.80までの強化に必要な累計コイン数,,,,,,,,,,☆☆☆☆,30,30,30,30
,,UR,161710,,,,,,,,,,☆☆☆☆☆,40,40,40,40
,,SSR,89839,,,,,,,,,,"⭐︎5までの必要な
キャラのかけらの個数",100,100,100,100
,,SR,62887,,,,,,,,,,"⭐︎5まで必要体数
（強化元のキャラが1体必要）",11,11,11,11
,,R,51924,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,▼ストーリークエストのキャラのかけらのドロップ計算について,,,,,,,,,,,,,,,,
,ステージ,ステージ1,ステージ2,ステージ3,ステージ4,ステージ5,ステージ6,ステージ7,ステージ8,,,,,,,,
,1周回のスタミナ,5,5,5,5,10,10,15,20,,,,,,,,
,かけらのドロップ量,1,1,1,1,1,1,1,1,,,,,,,,
,かけらのドロップ率,2,3,4,5,12,15,28,50,,,,,,,,
,かけら1個を獲得するのに必要な周回数,50,33.33333333,25,20,8.333333333,6.666666667,3.571428571,2,,,,,,,,
,かけら1個を獲得するのに必要なスタミナ,250,166.6666667,125,100,83.33333333,66.66666667,53.57142857,40,,,,,,,,
