memo
TABLE,MstExchangeCost,MstExchangeCost,MstExchangeCost,MstExchangeCost,MstExchangeCost,MstExchangeCost,MstExchangeCost
ENABLE,id,mst_exchange_lineup_id,cost_type,cost_id,cost_amount,release_key
e,event_kim_00001_01_lineup_00001,event_kim_00001_01_lineup_00001,Item,item_kim_00001,1000,202601101
e,event_kim_00001_01_lineup_00002,event_kim_00001_01_lineup_00002,Item,item_kim_00001,2500,202601101
e,event_kim_00001_01_lineup_00003,event_kim_00001_01_lineup_00003,Item,item_kim_00001,5000,202601101
e,event_kim_00001_01_lineup_00004,event_kim_00001_01_lineup_00004,Item,item_kim_00001,10000,202601101
e,event_kim_00001_01_lineup_00005,event_kim_00001_01_lineup_00005,Item,item_kim_00001,5000,202601101
e,event_kim_00001_01_lineup_00006,event_kim_00001_01_lineup_00006,Item,item_kim_00001,10000,202601101
e,event_kim_00001_01_lineup_00007,event_kim_00001_01_lineup_00007,Item,item_kim_00001,5000,202601101
e,event_kim_00001_01_lineup_00008,event_kim_00001_01_lineup_00008,Item,item_kim_00001,10000,202601101
e,event_kim_00001_01_lineup_00009,event_kim_00001_01_lineup_00009,Item,item_kim_00001,10000,202601101
e,event_kim_00001_01_lineup_00010,event_kim_00001_01_lineup_00010,Item,item_kim_00001,10000,202601101
e,event_kim_00001_01_lineup_00011,event_kim_00001_01_lineup_00011,Item,item_kim_00001,10000,202601101
e,event_kim_00001_01_lineup_00012,event_kim_00001_01_lineup_00012,Item,item_kim_00001,10000,202601101
e,event_kim_00001_01_lineup_00013,event_kim_00001_01_lineup_00013,Item,item_kim_00001,7500,202601101
e,event_kim_00001_01_lineup_00014,event_kim_00001_01_lineup_00014,Item,item_kim_00001,7500,202601101
e,event_kim_00001_01_lineup_00015,event_kim_00001_01_lineup_00015,Item,item_kim_00001,1000,202601101
e,event_kim_00001_01_lineup_00016,event_kim_00001_01_lineup_00016,Item,item_kim_00001,2500,202601101
e,event_kim_00001_01_lineup_00017,event_kim_00001_01_lineup_00017,Item,item_kim_00001,5000,202601101
e,event_kim_00001_01_lineup_00018,event_kim_00001_01_lineup_00018,Item,item_kim_00001,500,202601101
e,event_kim_00001_01_lineup_00019,event_kim_00001_01_lineup_00019,Item,item_kim_00001,500,202601101
e,event_kim_00001_01_lineup_00020,event_kim_00001_01_lineup_00020,Item,item_kim_00001,500,202601101
e,event_kim_00001_01_lineup_00021,event_kim_00001_01_lineup_00021,Item,item_kim_00001,500,202601101
e,event_kim_00001_01_lineup_00022,event_kim_00001_01_lineup_00022,Item,item_kim_00001,500,202601101
e,event_kim_00001_01_lineup_00023,event_kim_00001_01_lineup_00023,Item,item_kim_00001,300,202601101
