ENABLE,id,sequence_set_id,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,last_boss_trigger,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value,release_key
e,raid_you1_00001_1,raid_you1_00001,,1,,InitialSummon,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,1,0,None,1.2,EnterTargetKoma,0,None,,None,,,,,Default,Normal,10,1,1,100,10,,None,,202602010
e,raid_you1_00001_2,raid_you1_00001,,2,,InitialSummon,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,1,0,None,1.5,EnterTargetKoma,1,None,,None,,,,,Default,Normal,10,1,1,100,10,,None,,202602010
e,raid_you1_00001_3,raid_you1_00001,,3,,InitialSummon,0,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,1,0,None,1.8,EnterTargetKoma,1,None,,None,,,,,Default,Normal,4,2,1,200,10,,None,,202602010
e,raid_you1_00001_4,raid_you1_00001,,4,,ElapsedTime,500,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,3,500,None,,None,,None,,None,,,,,Default,Normal,4,2,1,100,10,,None,,202602010
e,raid_you1_00001_5,raid_you1_00001,,groupchange_1,,FriendUnitDead,3,SwitchSequenceGroup,w1,,,,None,,None,,None,,None,,,,,Default,Normal,,,1,,,50,None,,202602010
e,raid_you1_00001_6,raid_you1_00001,w1,5,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,c_you_00001_you1_advent_Normal_Colorless,,1,0,Fall,2.8,None,,None,,None,,,,,AdventBoss1,Normal,10,2,1,100,10,,None,,202602010
e,raid_you1_00001_7,raid_you1_00001,w1,6,,ElapsedTimeSinceSequenceGroupActivated,150,SummonEnemy,c_you_00201_you1_advent_Boss_Green,,1,0,None,,None,,None,,None,,,,,Default,Normal,8,4,1,150,50,,None,,202602010
e,raid_you1_00001_8,raid_you1_00001,w1,7,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,250,Fall,2.5,None,,None,,None,,,,,Default,Normal,20,1,1,50,10,,None,,202602010
e,raid_you1_00001_9,raid_you1_00001,w1,8,,ElapsedTimeSinceSequenceGroupActivated,750,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,3,500,None,,None,,None,,None,,,,,Default,Normal,20,1,1,50,10,,None,,202602010
e,raid_you1_00001_10,raid_you1_00001,w1,groupchange_2,,FriendUnitDead,6,SwitchSequenceGroup,w2,,,,None,,None,,None,,None,,,,,Default,Normal,,,1,,,50,None,,202602010
e,raid_you1_00001_11,raid_you1_00001,w2,9,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,c_you_00101_you1_advent_Boss_Green,,1,0,None,,None,,None,,None,,,,,AdventBoss1,Normal,20,8,1,150,50,,None,,202602010
e,raid_you1_00001_12,raid_you1_00001,w2,10,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,50,None,,None,,None,,None,,,,,Default,Normal,25,3,1,50,10,,None,,202602010
e,raid_you1_00001_13,raid_you1_00001,w2,11,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,150,Fall,2.5,None,,None,,None,,,,,Default,Normal,25,3,1,50,10,,None,,202602010
e,raid_you1_00001_14,raid_you1_00001,w2,12,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,3,100,None,,None,,None,,None,,,,,Default,Normal,10,8,1,50,10,,None,,202602010
e,raid_you1_00001_15,raid_you1_00001,w2,13,,ElapsedTimeSinceSequenceGroupActivated,1500,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,3,250,None,,None,,None,,None,,,,,Default,Normal,10,8,1,50,10,,None,,202602010
e,raid_you1_00001_16,raid_you1_00001,w2,groupchange_3,,FriendUnitDead,9,SwitchSequenceGroup,w3,,,,None,,None,,None,,None,,,,,Default,Normal,,,1,,,50,None,,202602010
e,raid_you1_00001_17,raid_you1_00001,w3,14,,ElapsedTimeSinceSequenceGroupActivated,150,SummonEnemy,c_you_00301_you1_advent_Boss_Green,,1,0,None,,None,,None,,None,,,,,AdventBoss2,Normal,30,10,1,150,50,,None,,202602010
e,raid_you1_00001_18,raid_you1_00001,w3,15,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,50,Fall,1.5,None,,None,,None,,,,,Default,Normal,50,5,1,40,10,,None,,202602010
e,raid_you1_00001_19,raid_you1_00001,w3,16,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,50,None,,None,,None,,None,,,,,Default,Normal,50,5,1,40,10,,None,,202602010
e,raid_you1_00001_20,raid_you1_00001,w3,17,,FriendUnitDead,16,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,4,500,None,,None,,None,,None,,,,,Default,Normal,50,5,1,40,10,150,None,,202602010
e,raid_you1_00001_21,raid_you1_00001,w3,18,,EnterTargetKomaIndex,1,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,500,Fall,2.5,None,,None,,None,,,,,Default,Normal,50,5,1,40,10,,None,,202602010
e,raid_you1_00001_22,raid_you1_00001,w3,groupchange_4,,FriendUnitDead,14,SwitchSequenceGroup,w4,,,,None,,None,,None,,None,,,,,Default,Normal,,,1,,,50,None,,202602010
e,raid_you1_00001_23,raid_you1_00001,w4,19,,ElapsedTimeSinceSequenceGroupActivated,150,SummonEnemy,e_you_00101_you1_advent_Boss_Colorless,,1,0,None,,None,,None,,None,,,,,AdventBoss2,Normal,50,15,1,150,50,,None,,202602010
e,raid_you1_00001_24,raid_you1_00001,w4,20,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,50,None,,None,,None,,None,,,,,Default,Normal,80,8,1,40,10,,None,,202602010
e,raid_you1_00001_25,raid_you1_00001,w4,21,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,50,None,,None,,None,,None,,,,,Default,Normal,80,8,1,40,10,,None,,202602010
e,raid_you1_00001_26,raid_you1_00001,w4,22,,ElapsedTimeSinceSequenceGroupActivated,50,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,2,50,None,,None,,None,,None,,,,,Default,Normal,60,12,1,50,10,,None,,202602010
e,raid_you1_00001_27,raid_you1_00001,w4,23,,ElapsedTimeSinceSequenceGroupActivated,800,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,2,50,None,,None,,None,,None,,,,,Default,Normal,60,12,1,50,10,,None,,202602010
e,raid_you1_00001_28,raid_you1_00001,w4,24,,FriendUnitDead,19,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,2,250,None,,None,,None,,None,,,,,Default,Normal,60,12,1,50,10,,None,,202602010
e,raid_you1_00001_29,raid_you1_00001,w4,25,,FriendUnitDead,19,SummonEnemy,e_you_00101_you1_advent_Boss_Colorless,,1,0,None,,None,,None,,None,,,,,AdventBoss3,Normal,50,15,1,150,100,50,None,,202602010
e,raid_you1_00001_30,raid_you1_00001,w4,groupchange_5,,ElapsedTimeSinceSequenceGroupActivated,1000,SwitchSequenceGroup,w5,,,,None,,None,,None,,None,,,,,Default,Normal,,,1,,,,None,,202602010
e,raid_you1_00001_31,raid_you1_00001,w5,26,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,c_you_00001_you1_advent_Boss_Green,,1,0,None,,None,,None,,None,,,,,AdventBoss3,Normal,70,22,1,150,50,,None,,202602010
e,raid_you1_00001_32,raid_you1_00001,w5,27,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,c_you_00201_you1_advent_Normal_Green,,1,0,None,,None,,None,,None,,,,,Default,Normal,400,15,1,50,10,,None,,202602010
e,raid_you1_00001_33,raid_you1_00001,w5,28,,FriendUnitDead,27,SummonEnemy,c_you_00201_you1_advent_Normal_Green,,1,0,None,,None,,None,,None,,,,,Default,Normal,400,15,1,50,10,100,None,,202602010
e,raid_you1_00001_34,raid_you1_00001,w5,29,,ElapsedTimeSinceSequenceGroupActivated,350,SummonEnemy,c_you_00301_you1_advent_Normal_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,350,18,1,50,10,,None,,202602010
e,raid_you1_00001_35,raid_you1_00001,w5,30,,FriendUnitDead,29,SummonEnemy,c_you_00301_you1_advent_Normal_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,350,18,1,50,10,100,None,,202602010
e,raid_you1_00001_36,raid_you1_00001,w5,31,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,3,250,Fall,2.2,None,,None,,None,,,,,Default,Normal,100,10,1,40,10,,None,,202602010
e,raid_you1_00001_37,raid_you1_00001,w5,32,,ElapsedTimeSinceSequenceGroupActivated,400,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,3,50,None,,None,,None,,None,,,,,Default,Normal,100,10,1,40,10,,None,,202602010
e,raid_you1_00001_38,raid_you1_00001,w5,33,,ElapsedTimeSinceSequenceGroupActivated,1250,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,5,250,None,,None,,None,,None,,,,,Default,Normal,100,10,1,40,10,,None,,202602010
